road,Accidents
"(52690617, 1303834554, 0)",1
"(52690631, 52690783, 0)",1
"(52690635, 52690637, 0)",1
"(52690646, 52690652, 0)",1
"(52690656, 52690659, 0)",1
"(52690665, 52690521, 0)",3
"(52690779, 52690529, 0)",2
"(52690779, 245494245, 0)",2
"(52690786, 245494245, 0)",1
"(52690786, 245494258, 0)",6
"(52690792, 982576511, 0)",4
"(52698807, 1642907267, 0)",2
"(52728502, 52732399, 0)",4
"(52732230, 52728502, 0)",3
"(52732399, 4621500999, 0)",1
"(52745491, 52745488, 0)",1
"(52746882, 49556960, 0)",3
"(52754197, 1790247699, 0)",2
"(52754197, 10624199478, 0)",1
"(52842146, 52842148, 0)",1
"(52842148, 10438320, 0)",2
"(52866080, 145291808, 0)",1
"(52866083, 52866092, 0)",2
"(52866083, 145291544, 0)",6
"(52866100, 49572641, 0)",2
"(52871146, 304898245, 0)",1
"(52889936, 21473599, 0)",1
"(52889936, 3350799196, 0)",6
"(53358618, 288963460, 0)",1
"(53358618, 1601134691, 0)",2
"(53358637, 53358714, 0)",1
"(53358688, 53358637, 0)",1
"(53358714, 53358618, 0)",1
"(53379598, 890850405, 0)",2
"(53379615, 11218085, 0)",2
"(53379649, 53379598, 0)",3
"(53379708, 53379824, 0)",1
"(53379877, 53379824, 0)",1
"(53388911, 349343408, 0)",3
"(53392808, 349355053, 0)",2
"(53392821, 298369466, 0)",1
"(53392821, 317598055, 0)",4
"(53392821, 317600311, 0)",1
"(54060543, 354734667, 0)",2
"(54060543, 8691307585, 0)",1
"(54070620, 1601125172, 0)",2
"(54093197, 1601134691, 0)",1
"(54093276, 301016248, 0)",1
"(54093314, 319790104, 0)",1
"(54093361, 890850619, 0)",1
"(54093375, 54093408, 0)",1
"(54093411, 300364425, 0)",1
"(54093618, 52110822, 0)",1
"(54093622, 53379615, 0)",1
"(54093626, 890850252, 0)",1
"(54093632, 52111003, 0)",2
"(54093632, 1645980862, 0)",1
"(54093633, 52111003, 0)",2
"(54139237, 1407526679, 0)",1
"(54139837, 54139864, 0)",1
"(54139864, 54139837, 0)",1
"(54139908, 6979295, 0)",2
"(54150575, 1407526691, 0)",1
"(54150575, 1407526693, 0)",1
"(54150594, 11218138, 0)",2
"(54150594, 54150639, 0)",2
"(54150639, 1407526691, 0)",1
"(54150774, 54739003, 0)",1
"(54150904, 54150906, 0)",1
"(54150906, 1690928910, 0)",1
"(54151069, 54150906, 0)",1
"(54151069, 1718654138, 0)",1
"(54151127, 60629365, 0)",1
"(54151530, 332076091, 0)",1
"(54151530, 332076139, 0)",2
"(54188256, 6497058753, 0)",1
"(54568263, 9791529, 0)",1
"(54739003, 243857670, 0)",1
"(54739003, 301819606, 0)",1
"(54741756, 57627860, 0)",1
"(55424694, 41338176, 0)",1
"(55424723, 288970043, 0)",2
"(55424723, 304900552, 0)",2
"(55424776, 10457571, 0)",4
"(55424776, 10457572, 0)",2
"(55424881, 51401490, 0)",1
"(55424907, 343110998, 0)",1
"(55424907, 1296717504, 0)",1
"(55424938, 475905190, 0)",3
"(55424967, 1296717323, 0)",1
"(55425003, 1635816183, 0)",1
"(55425005, 21122901, 0)",9
"(55425200, 306288656, 0)",1
"(55425475, 296016780, 0)",1
"(55425724, 298016831, 0)",1
"(55425734, 306288656, 0)",1
"(55425802, 55425009, 0)",1
"(55425882, 330057994, 0)",2
"(55531144, 55424907, 0)",1
"(55531144, 313246916, 0)",2
"(55531144, 1296717233, 0)",1
"(55531146, 921362336, 0)",1
"(55576405, 55576395, 0)",1
"(56234195, 52690579, 0)",1
"(56234209, 56217426, 0)",1
"(56234211, 2044477305, 0)",3
"(56234305, 49545452, 0)",1
"(56234329, 10437654, 0)",1
"(56234331, 56234329, 0)",1
"(56240834, 10437695, 0)",4
"(56240834, 56234331, 0)",1
"(58779895, 29059160, 0)",2
"(58779895, 483446381, 0)",1
"(58779947, 21133684, 0)",1
"(58779947, 58779954, 0)",1
"(58779954, 10388520, 0)",1
"(58787472, 21428189, 0)",1
"(58803368, 58803371, 0)",2
"(58803368, 5186541305, 0)",1
"(58803370, 2719936867, 0)",1
"(59136618, 59136652, 0)",1
"(59136618, 59136860, 0)",1
"(59136652, 59136618, 0)",3
"(59136652, 6312570485, 0)",3
"(59136675, 59137148, 0)",1
"(59136884, 59136756, 0)",1
"(59136909, 59136829, 0)",1
"(59137259, 26678605, 0)",2
"(59178989, 1716442940, 0)",2
"(59179023, 59179301, 0)",1
"(59179421, 390942170, 0)",1
"(59179421, 477634227, 0)",1
"(59179430, 250074079, 0)",2
"(59179430, 452140295, 0)",1
"(59179454, 522977041, 0)",1
"(59179454, 921220202, 0)",7
"(59179476, 59179454, 0)",2
"(59179476, 435187159, 0)",1
"(59179505, 389460092, 0)",1
"(59179536, 59179557, 0)",1
"(59179557, 59179536, 0)",1
"(59179557, 452140381, 0)",2
"(59179578, 59179826, 0)",5
"(59179578, 1639561246, 0)",1
"(59179648, 452140283, 0)",1
"(59179694, 1296777806, 0)",1
"(59179715, 292238095, 0)",4
"(59179720, 59214222, 0)",2
"(59179720, 1271219569, 0)",1
"(59179826, 59179853, 0)",1
"(59179826, 506820854, 0)",1
"(59179853, 59179826, 0)",2
"(59179924, 412303127, 0)",1
"(59213686, 9594946, 0)",4
"(59213702, 59179631, 0)",2
"(59213702, 1296773723, 0)",1
"(59213728, 59213763, 0)",1
"(59213739, 59213754, 0)",1
"(59213764, 59214183, 0)",1
"(59213793, 59179761, 0)",1
"(59213818, 59179606, 0)",1
"(59213973, 59179595, 0)",2
"(59214015, 59179631, 0)",1
"(59214024, 59214015, 0)",1
"(59214050, 1917821512, 0)",1
"(59214081, 59214194, 0)",2
"(59214112, 59214130, 0)",1
"(59214157, 59214143, 0)",1
"(59214168, 1296773678, 0)",1
"(59214222, 1271219664, 0)",1
"(59214231, 1271219546, 0)",1
"(59214231, 1271219614, 0)",1
"(59605302, 59605301, 0)",1
"(59605308, 1631922129, 0)",1
"(59605312, 59605313, 0)",3
"(59605315, 11218335, 0)",1
"(59606551, 11218335, 0)",2
"(59650516, 702201118, 0)",1
"(59650519, 59650521, 0)",1
"(59650523, 59650524, 0)",1
"(59650525, 59650524, 0)",1
"(59650525, 59650597, 0)",3
"(59650531, 59650573, 0)",1
"(59650566, 59650567, 0)",1
"(59650567, 59650566, 0)",1
"(59650568, 59650574, 0)",1
"(59650568, 796119111, 0)",1
"(59650568, 5183814392, 0)",2
"(59650573, 59650531, 0)",1
"(59650577, 1081312554, 0)",1
"(59650589, 244138881, 0)",3
"(59650597, 59650525, 0)",1
"(59650602, 21035848, 0)",1
"(59650630, 59650631, 0)",2
"(59650631, 10388493, 0)",1
"(59650631, 59650632, 0)",1
"(59650632, 59650625, 0)",2
"(59650633, 9198455679, 0)",4
"(59650634, 261931388, 0)",2
"(59776856, 55424723, 0)",1
"(59776862, 21099234, 0)",6
"(59776862, 55425005, 0)",1
"(59776862, 330058015, 0)",4
"(59785220, 59785222, 0)",2
"(59785262, 59785244, 0)",1
"(59785287, 21122893, 0)",2
"(59785289, 3396194928, 0)",1
"(59814522, 59814523, 0)",1
"(59814522, 2424546487, 0)",1
"(59847558, 1596698699, 0)",4
"(59860788, 48900390, 0)",1
"(59989722, 59860788, 0)",1
"(59989722, 472373659, 0)",2
"(59989778, 59989785, 0)",2
"(59989785, 59989778, 0)",1
"(59989785, 349401401, 0)",2
"(59989809, 53392790, 0)",1
"(59989809, 59989812, 0)",1
"(59989823, 59989812, 0)",1
"(59989861, 524565686, 0)",2
"(59989876, 31936441, 0)",2
"(59989894, 59989895, 0)",1
"(59989895, 50918517, 0)",2
"(59989895, 59989894, 0)",1
"(59989908, 59989918, 0)",1
"(59989933, 387900743, 0)",1
"(59989933, 1924347725, 0)",3
"(59989935, 317598047, 0)",2
"(60039428, 60039446, 0)",2
"(60039446, 60039428, 0)",2
"(60039489, 444623004, 0)",1
"(60039522, 297092575, 0)",1
"(60039524, 60039522, 0)",1
"(60039576, 304322897, 0)",1
"(60039580, 455594312, 0)",1
"(60039648, 60039651, 0)",5
"(60039648, 354620031, 0)",6
"(60039648, 429367149, 0)",1
"(60039651, 60039653, 0)",1
"(60624824, 890981173, 0)",1
"(60624828, 60624846, 0)",1
"(60624850, 692832553, 0)",1
"(60624868, 60624880, 0)",1
"(60624868, 455504957, 0)",1
"(60624880, 60624868, 0)",1
"(60624899, 5671490655, 0)",1
"(60624967, 248031278, 0)",2
"(60624967, 6339450221, 0)",1
"(60624968, 1056516198, 0)",1
"(60624969, 60624847, 0)",1
"(60629423, 60629400, 0)",1
"(60631224, 21436367, 0)",2
"(60631224, 32884034, 0)",1
"(60649083, 10457400, 0)",10
"(61771714, 1596698696, 0)",4
"(61771714, 1596707312, 0)",3
"(61771773, 9832145, 0)",3
"(73762977, 1578565415, 0)",2
"(73762977, 1959140060, 0)",6
"(82748385, 1578588639, 0)",10
"(82750891, 1554408787, 0)",1
"(82750924, 82750920, 0)",1
"(82750925, 846855108, 0)",1
"(82750925, 7661781504, 0)",1
"(84395890, 122465043, 0)",1
"(84395900, 122460932, 0)",4
"(84395904, 49536151, 0)",4
"(84395904, 111703087, 0)",1
"(84395994, 49536151, 0)",2
"(84395994, 150998544, 0)",1
"(84445291, 110111868, 0)",4
"(84445292, 84445291, 0)",1
"(84445309, 84445302, 0)",1
"(84848647, 29581605, 0)",1
"(85880779, 85880913, 0)",3
"(85880913, 1056977721, 0)",1
"(85880913, 4551549347, 0)",5
"(85883115, 14569471, 0)",6
"(86030774, 321812, 0)",16
"(86031501, 155014, 0)",15
"(86039444, 86030774, 0)",1
"(86039969, 601438, 0)",10
"(86040176, 415324240, 0)",2
"(87170660, 443123928, 0)",1
"(87170660, 454094072, 0)",1
"(87170660, 1950651158, 0)",2
"(87170660, 1957357470, 0)",1
"(87170786, 7048127424, 0)",2
"(87170786, 11652562340, 0)",1
"(88889592, 30814836, 0)",1
"(88889697, 1506537397, 0)",1
"(88889733, 11112468238, 0)",2
"(88889825, 7431354876, 0)",1
"(110111868, 84445291, 0)",3
"(110111868, 111554730, 0)",1
"(110111868, 145291863, 0)",1
"(110444308, 110444314, 0)",1
"(111703087, 84395900, 0)",1
"(111703087, 84395904, 0)",1
"(113652381, 113652400, 0)",1
"(113676121, 113676116, 0)",1
"(115662592, 127879455, 0)",1
"(115662637, 127879368, 0)",1
"(115662693, 110111886, 0)",1
"(122460932, 84395900, 0)",4
"(122465043, 84395890, 0)",1
"(122465043, 122460966, 0)",1
"(122465043, 122465242, 0)",1
"(122465047, 122465054, 0)",1
"(122465066, 122465283, 0)",1
"(122465088, 122465066, 0)",1
"(122465092, 49545455, 0)",4
"(122465092, 122465432, 0)",4
"(122465304, 122465315, 0)",1
"(122465586, 49545437, 0)",6
"(122465613, 122465592, 0)",2
"(122465616, 122465602, 0)",1
"(122465809, 1632924519, 0)",1
"(122465839, 122465829, 0)",2
"(127767902, 153723181, 0)",1
"(127822391, 127992770, 0)",1
"(127822495, 18667991, 0)",1
"(127879432, 127879536, 0)",1
"(127879467, 127879685, 0)",1
"(127879467, 127960143, 0)",1
"(127879536, 127879612, 0)",1
"(127879548, 127879536, 0)",2
"(127879548, 127879546, 0)",1
"(127879590, 127879594, 0)",1
"(127879594, 127879467, 0)",2
"(127879656, 1906140977, 0)",2
"(127879685, 127879467, 0)",2
"(127879685, 127879585, 0)",1
"(127879685, 127879683, 0)",1
"(127959901, 127959950, 0)",1
"(127960471, 127960476, 0)",1
"(127960476, 127960471, 0)",1
"(129940442, 10438326, 0)",2
"(129940443, 10438318, 0)",1
"(129940443, 175697008, 0)",1
"(137611639, 49536172, 0)",1
"(137611639, 137611663, 0)",1
"(137611663, 137611639, 0)",1
"(145291544, 10438432, 0)",1
"(145291544, 52866083, 0)",1
"(145291544, 84445315, 0)",1
"(145291783, 52866080, 0)",1
"(145291808, 146734787, 0)",1
"(145291822, 1590914174, 0)",1
"(145291822, 1590914188, 0)",2
"(146657050, 3071000863, 0)",1
"(146657080, 84445320, 0)",3
"(146657080, 250066166, 0)",1
"(146734787, 146734807, 0)",1
"(150998544, 49536099, 0)",1
"(150998573, 3619963843, 0)",1
"(150998589, 150998586, 0)",1
"(151854744, 163654998, 0)",1
"(151854744, 163655028, 0)",1
"(153723131, 18667971, 0)",1
"(153723138, 49539679, 0)",1
"(153723181, 153723166, 0)",2
"(153723217, 153723097, 0)",2
"(163654998, 151854744, 0)",3
"(175696921, 49545455, 0)",1
"(175696925, 178889127, 0)",1
"(175696933, 1590163596, 0)",2
"(175697008, 129940443, 0)",1
"(178889012, 178889011, 0)",1
"(178889140, 178889127, 0)",2
"(178889140, 298186521, 0)",1
"(178889146, 178889000, 0)",1
"(180338943, 1590163601, 0)",1
"(180338953, 1325884710, 0)",1
"(180338990, 249727938, 0)",1
"(199461858, 20621600, 0)",1
"(199461858, 2053545722, 0)",1
"(242143636, 974465419, 0)",2
"(242143636, 5460605340, 0)",1
"(243731354, 21042105, 0)",3
"(243731354, 153723131, 0)",1
"(243731361, 59650472, 0)",1
"(243731426, 243731397, 0)",1
"(243731490, 243731427, 0)",1
"(243731494, 18667969, 0)",1
"(243731494, 18667971, 0)",1
"(243857587, 243857588, 0)",1
"(243857601, 243857701, 0)",1
"(243857652, 243857653, 0)",1
"(243857656, 59650589, 0)",1
"(243857670, 243857601, 0)",1
"(243857691, 243857703, 0)",2
"(243857697, 244138892, 0)",1
"(243857753, 243857754, 0)",1
"(244138882, 49536293, 0)",2
"(244138882, 244138881, 0)",1
"(244138882, 244138890, 0)",2
"(244138889, 243857697, 0)",1
"(244138889, 244138891, 0)",1
"(244138889, 1212559007, 0)",1
"(244138890, 244138882, 0)",2
"(244138891, 244138881, 0)",1
"(244138891, 244138889, 0)",1
"(244150453, 244319285, 0)",1
"(244150453, 8373170800, 0)",4
"(244319285, 244150453, 0)",4
"(244319285, 10302853297, 0)",4
"(244449799, 9405615106, 0)",2
"(244487994, 26308127, 0)",6
"(244487994, 26308137, 0)",2
"(244487994, 3848638853, 0)",1
"(245070039, 127767932, 0)",2
"(245494187, 1600541491, 0)",1
"(245494197, 245494207, 0)",1
"(245494197, 248497601, 0)",4
"(245494198, 52690521, 0)",2
"(245494198, 982576555, 0)",1
"(245494201, 888550254, 0)",6
"(245494201, 982576555, 0)",4
"(245494207, 245494197, 0)",1
"(245494210, 245494212, 0)",1
"(245494211, 245494250, 0)",1
"(245494212, 245494218, 0)",1
"(245494216, 245494217, 0)",1
"(245494216, 964808230, 0)",1
"(245494217, 245495717, 0)",5
"(245494217, 964815210, 0)",2
"(245494220, 245494249, 0)",1
"(245494221, 982577846, 0)",1
"(245494224, 245494240, 0)",2
"(245494228, 964813771, 0)",1
"(245494232, 964811582, 0)",1
"(245494232, 964811998, 0)",1
"(245494232, 964812891, 0)",1
"(245494233, 249619858, 0)",1
"(245494233, 964811998, 0)",1
"(245494234, 964814314, 0)",1
"(245494242, 245494224, 0)",2
"(245494242, 1906140881, 0)",2
"(245494245, 982577678, 0)",1
"(245494247, 245494250, 0)",1
"(245494248, 6138764961, 0)",1
"(245494251, 52690529, 0)",1
"(245494251, 245494250, 0)",1
"(245494253, 245494252, 0)",1
"(245494255, 982576375, 0)",1
"(245494256, 245494255, 0)",1
"(245494258, 52690606, 0)",1
"(245494258, 52690786, 0)",2
"(245494258, 52690792, 0)",1
"(245494258, 982576365, 0)",1
"(245494263, 245494264, 0)",1
"(245494263, 982576462, 0)",1
"(245494322, 245494326, 0)",1
"(245494326, 248496294, 0)",1
"(245494328, 248497602, 0)",1
"(245494332, 245504927, 0)",1
"(245494332, 248497598, 0)",2
"(245494334, 248498743, 0)",1
"(245494337, 245494326, 0)",1
"(245494338, 247962306, 0)",1
"(245494338, 703828849, 0)",1
"(245494341, 248496700, 0)",1
"(245494342, 964808941, 0)",1
"(245495132, 5845582467, 0)",2
"(245495355, 3636233841, 0)",1
"(245495360, 250327831, 0)",2
"(245495370, 1325884812, 0)",1
"(245495370, 1325884829, 0)",1
"(245495384, 245495381, 0)",2
"(245495718, 10455768, 0)",1
"(245495718, 982373631, 0)",1
"(245495718, 982373862, 0)",1
"(245504891, 245504892, 0)",1
"(245504894, 250735973, 0)",2
"(245504895, 250735973, 0)",2
"(245504897, 476690685, 0)",1
"(245504899, 245504897, 0)",1
"(245504907, 789666615, 0)",1
"(245504914, 245504907, 0)",1
"(245504923, 690280796, 0)",2
"(245504927, 10455737, 0)",10
"(245504927, 245494332, 0)",1
"(245504927, 982574201, 0)",2
"(245504964, 245508532, 0)",1
"(245504964, 11652687681, 0)",2
"(245504966, 245508527, 0)",1
"(245505836, 982373536, 0)",1
"(245505838, 964814566, 0)",1
"(245505838, 982486589, 0)",2
"(245505839, 982486561, 0)",1
"(245505842, 964822917, 0)",1
"(245505843, 964822916, 0)",1
"(245505844, 964808941, 0)",2
"(245505845, 245505844, 0)",2
"(245505846, 245494342, 0)",1
"(245505846, 964822886, 0)",1
"(245505850, 4901621926, 0)",1
"(245505853, 34680256, 0)",2
"(245505853, 982345889, 0)",1
"(245505901, 245505902, 0)",1
"(245505901, 479163539, 0)",2
"(245505903, 964822768, 0)",1
"(245505904, 479163534, 0)",3
"(245505911, 249614555, 0)",4
"(245505911, 249617599, 0)",4
"(245505911, 964823881, 0)",1
"(245505918, 245505922, 0)",2
"(245505922, 245505918, 0)",1
"(245505922, 2044769431, 0)",1
"(245505931, 690280497, 0)",1
"(245505942, 690765371, 0)",2
"(245508396, 973595183, 0)",2
"(245508458, 2056774154, 0)",1
"(245508462, 245508463, 0)",2
"(245508463, 245508462, 0)",1
"(245516598, 288973892, 0)",1
"(245516605, 1152092867, 0)",5
"(245516640, 288976951, 0)",1
"(245516664, 3166886307, 0)",1
"(245976448, 561428070, 0)",2
"(245977399, 457646803, 0)",2
"(246113562, 1955817129, 0)",1
"(247077785, 1634922770, 0)",1
"(247293248, 5717597896, 0)",1
"(247293248, 5717597914, 0)",1
"(247316223, 247384020, 0)",1
"(247316225, 380917834, 0)",2
"(247316226, 380787211, 0)",1
"(247372579, 796384981, 0)",1
"(247384020, 247316223, 0)",1
"(247384020, 379766551, 0)",2
"(247432107, 1678451610, 0)",1
"(247432111, 381007517, 0)",1
"(247432113, 247484596, 0)",1
"(247432113, 1707536050, 0)",1
"(247432122, 248909464, 0)",1
"(247432122, 305074100, 0)",1
"(247432122, 372914308, 0)",2
"(247432127, 305074183, 0)",1
"(247453551, 31938380, 0)",1
"(247482653, 2068675217, 0)",1
"(247482937, 247487323, 0)",1
"(247483008, 384592983, 0)",1
"(247483026, 247432107, 0)",1
"(247484590, 2872488745, 0)",1
"(247484594, 247484693, 0)",1
"(247484693, 372938015, 0)",1
"(247618460, 1709244926, 0)",2
"(247621225, 306298434, 0)",1
"(247621226, 247621225, 0)",1
"(247772732, 11462576120, 0)",2
"(247782277, 413252711, 0)",4
"(247782279, 321855, 0)",1
"(247925471, 907206007, 0)",1
"(247957329, 9791509, 0)",1
"(247962305, 247962298, 0)",1
"(247962305, 249727998, 0)",1
"(247962306, 245494338, 0)",2
"(247963394, 247963393, 0)",1
"(247963403, 247963421, 0)",1
"(247963403, 1296601082, 0)",1
"(247963407, 940078261, 0)",2
"(247963421, 247963403, 0)",1
"(247963421, 703828822, 0)",2
"(247963423, 3471412, 0)",1
"(247963424, 247963422, 0)",1
"(248018270, 2043065390, 0)",1
"(248018278, 13807321, 0)",2
"(248018278, 1141163581, 0)",2
"(248018278, 9086075205, 0)",1
"(248018303, 691590475, 0)",1
"(248018316, 691586552, 0)",2
"(248018344, 691581712, 0)",1
"(248018354, 248018357, 0)",1
"(248018357, 1754706700, 0)",1
"(248018361, 248018360, 0)",1
"(248018361, 692182915, 0)",3
"(248018363, 249727955, 0)",1
"(248018366, 248018373, 0)",1
"(248018369, 1296601262, 0)",2
"(248018369, 7737770726, 0)",1
"(248018381, 1296601494, 0)",1
"(248018386, 248018387, 0)",1
"(248018402, 1080523688, 0)",1
"(248018405, 247963407, 0)",1
"(248018407, 247962298, 0)",1
"(248018407, 247963403, 0)",1
"(248025458, 703828862, 0)",1
"(248025464, 248025456, 0)",1
"(248031278, 60624967, 0)",9
"(248031278, 1643932245, 0)",3
"(248031280, 181519087, 0)",1
"(248031280, 248031278, 0)",1
"(248035394, 1873019780, 0)",1
"(248044862, 935666445, 0)",3
"(248195234, 313102494, 0)",1
"(248195234, 313102501, 0)",1
"(248494196, 248494239, 0)",1
"(248494417, 10437531, 0)",1
"(248494889, 248494890, 0)",1
"(248494963, 249734533, 0)",2
"(248495583, 248495612, 0)",1
"(248496278, 714160800, 0)",1
"(248496288, 248496689, 0)",1
"(248496288, 248496701, 0)",1
"(248496294, 248496689, 0)",1
"(248496678, 982576909, 0)",1
"(248497598, 714231304, 0)",2
"(248497598, 964813774, 0)",1
"(248497599, 1778268348, 0)",1
"(248497600, 248497598, 0)",3
"(248497600, 248497768, 0)",2
"(248497601, 245494197, 0)",2
"(248497601, 888550291, 0)",1
"(248497602, 245494328, 0)",3
"(248497768, 248497600, 0)",2
"(248497768, 248497772, 0)",2
"(248498739, 603326645, 0)",1
"(248498739, 603326646, 0)",2
"(248498791, 11652687676, 0)",1
"(248547874, 29047741, 0)",3
"(248751643, 247935870, 0)",1
"(248909464, 247432122, 0)",4
"(248909464, 305074079, 0)",1
"(249205794, 249205801, 0)",1
"(249205796, 474056888, 0)",1
"(249205806, 249205804, 0)",3
"(249205806, 1640611933, 0)",1
"(249205823, 1640611933, 0)",1
"(249205826, 249205827, 0)",1
"(249238531, 247432125, 0)",1
"(249238531, 1905784311, 0)",1
"(249238534, 249238531, 0)",3
"(249238548, 364796388, 0)",1
"(249258933, 10456796, 0)",3
"(249258933, 249258946, 0)",1
"(249260979, 9400950852, 0)",1
"(249263541, 31938496, 0)",1
"(249263692, 249205828, 0)",1
"(249263696, 249263698, 0)",1
"(249280994, 32047216, 0)",1
"(249281045, 249281075, 0)",1
"(249281108, 475395562, 0)",1
"(249306981, 2377604578, 0)",3
"(249319325, 31938496, 0)",10
"(249319325, 1627024196, 0)",7
"(249332933, 31938496, 0)",2
"(249332933, 395486413, 0)",1
"(249332933, 1602847340, 0)",1
"(249431217, 643844, 0)",1
"(249431802, 249431956, 0)",1
"(249431956, 249431802, 0)",1
"(249507562, 9782229, 0)",2
"(249513868, 455593841, 0)",1
"(249513872, 441335482, 0)",1
"(249513876, 444622553, 0)",1
"(249614209, 249614210, 0)",4
"(249614209, 395486413, 0)",5
"(249614210, 6592118560, 0)",1
"(249614534, 395494296, 0)",1
"(249614534, 2044769230, 0)",2
"(249614546, 249614548, 0)",2
"(249614548, 249614550, 0)",3
"(249614548, 964825368, 0)",2
"(249614550, 249614548, 0)",2
"(249614550, 964819272, 0)",1
"(249614552, 964819272, 0)",1
"(249617598, 249617602, 0)",1
"(249617599, 245505911, 0)",1
"(249617599, 395562441, 0)",1
"(249617603, 249617600, 0)",1
"(249617608, 249617610, 0)",1
"(249617610, 249617608, 0)",2
"(249617611, 249617616, 0)",1
"(249617612, 249617606, 0)",1
"(249617613, 2057933058, 0)",1
"(249617614, 249617607, 0)",2
"(249617616, 249617611, 0)",1
"(249617623, 982346181, 0)",1
"(249617626, 249617624, 0)",1
"(249617626, 982346187, 0)",1
"(249617630, 249617631, 0)",1
"(249617631, 249617628, 0)",1
"(249617631, 249617629, 0)",1
"(249619858, 10455742, 0)",1
"(249619860, 245495717, 0)",1
"(249619863, 964808986, 0)",1
"(249619867, 964817613, 0)",1
"(249619868, 964817546, 0)",1
"(249619869, 964817524, 0)",1
"(249619869, 964817546, 0)",1
"(249621259, 249621260, 0)",1
"(249621260, 249809802, 0)",1
"(249621263, 2164672131, 0)",1
"(249621264, 10439913, 0)",2
"(249621264, 249621265, 0)",2
"(249621264, 395505004, 0)",1
"(249621265, 249621264, 0)",3
"(249621266, 6223187815, 0)",6
"(249661467, 274069728, 0)",2
"(249727821, 692154984, 0)",1
"(249727821, 2271226082, 0)",1
"(249727824, 5246775105, 0)",1
"(249727826, 249727828, 0)",1
"(249727828, 249727826, 0)",1
"(249727833, 249727837, 0)",1
"(249727851, 1836072797, 0)",1
"(249727872, 249727870, 0)",1
"(249727908, 10456676, 0)",3
"(249727937, 248018354, 0)",1
"(249727948, 32884121, 0)",1
"(249727948, 692156167, 0)",5
"(249727948, 1997434606, 0)",1
"(249727975, 249727977, 0)",1
"(249727978, 249727981, 0)",1
"(249728012, 248018398, 0)",3
"(249728025, 249728026, 0)",1
"(249728034, 1422925742, 0)",1
"(249732556, 3471522, 0)",1
"(249732577, 3471381, 0)",3
"(249732577, 690285319, 0)",1
"(249733278, 249733277, 0)",1
"(249733614, 248494964, 0)",1
"(249733614, 703828711, 0)",1
"(249734529, 2043065368, 0)",1
"(249803921, 10456870, 0)",2
"(249803921, 249803928, 0)",2
"(249803921, 964816026, 0)",5
"(249806222, 964816070, 0)",1
"(249808729, 34680256, 0)",1
"(249808732, 249808731, 0)",1
"(249810446, 964825376, 0)",1
"(249810450, 249810452, 0)",1
"(249810450, 964817181, 0)",2
"(249813615, 9400950852, 0)",6
"(249813617, 964816532, 0)",7
"(249813617, 964817416, 0)",1
"(249813617, 982573923, 0)",1
"(249813618, 1296600676, 0)",1
"(249813619, 26298445, 0)",5
"(249813622, 52754197, 0)",1
"(249813627, 49570250, 0)",1
"(250066165, 49565569, 0)",2
"(250066165, 250066166, 0)",2
"(250070854, 250070852, 0)",2
"(250070889, 920345798, 0)",1
"(250070895, 9839341622, 0)",1
"(250070918, 9839341624, 0)",1
"(250072506, 920345861, 0)",2
"(250072511, 3222439196, 0)",2
"(250074080, 250074081, 0)",1
"(250074081, 250074080, 0)",1
"(250074090, 9217105711, 0)",2
"(250074091, 250074094, 0)",1
"(250074094, 405211378, 0)",1
"(250074096, 250074100, 0)",2
"(250074100, 250074096, 0)",2
"(250074100, 250074108, 0)",1
"(250074107, 250074101, 0)",3
"(250074108, 5459802017, 0)",2
"(250074109, 390942157, 0)",1
"(250074112, 5459802017, 0)",1
"(250079504, 250079505, 0)",1
"(250079505, 250079504, 0)",1
"(250079505, 7036592272, 0)",6
"(250079511, 298127745, 0)",1
"(250079515, 59179476, 0)",1
"(250079515, 250079523, 0)",1
"(250079529, 392047358, 0)",1
"(250079530, 250079508, 0)",2
"(250079532, 250079527, 0)",1
"(250079535, 9101610384, 0)",1
"(250079536, 388059605, 0)",3
"(250079536, 388059671, 0)",1
"(250079539, 388059671, 0)",1
"(250081578, 250081579, 0)",1
"(250081579, 250081573, 0)",1
"(250131780, 250131785, 0)",3
"(250131780, 250932738, 0)",1
"(250142898, 381913548, 0)",4
"(250142898, 384962156, 0)",1
"(250142916, 1636333096, 0)",1
"(250163976, 3466888, 0)",6
"(250163977, 31942776, 0)",1
"(250214013, 340480304, 0)",3
"(250223968, 49576592, 0)",1
"(250327324, 5446608712, 0)",4
"(250327335, 6781847107, 0)",1
"(250327366, 250327361, 0)",1
"(250327373, 250327366, 0)",1
"(250327377, 250327373, 0)",1
"(250327378, 250327377, 0)",1
"(250327378, 1590163597, 0)",1
"(250327836, 250328349, 0)",1
"(250327836, 690284667, 0)",1
"(250328351, 180338972, 0)",1
"(250328351, 1325884740, 0)",1
"(250329318, 250329320, 0)",1
"(250329318, 6875454507, 0)",1
"(250329334, 250329314, 0)",1
"(250349453, 3071035459, 0)",1
"(250390246, 49536161, 0)",1
"(250390279, 49539679, 0)",1
"(250409964, 250409962, 0)",1
"(250409970, 251465450, 0)",2
"(250523765, 21133739, 0)",11
"(250634314, 982584954, 0)",1
"(250634315, 250634314, 0)",1
"(250634338, 690279816, 0)",1
"(250634352, 250635624, 0)",1
"(250634356, 250634338, 0)",2
"(250634358, 250634356, 1)",1
"(250634363, 479092195, 0)",2
