road,Accidents
"(9594332, 1117170338, 0)",2
"(9594337, 2872489836, 0)",1
"(9594890, 9594889, 0)",4
"(9594890, 26670067, 0)",6
"(9594892, 9594890, 0)",3
"(9594893, 9594892, 0)",1
"(9594893, 9594958, 0)",1
"(9594946, 9594892, 0)",1
"(9594958, 6294553361, 0)",2
"(9594958, 7441068223, 0)",2
"(9721074, 26670140, 0)",1
"(9721176, 9721074, 0)",1
"(9721176, 415002723, 0)",2
"(9781569, 9594886, 0)",1
"(9781787, 26670146, 0)",1
"(9781791, 9721176, 0)",1
"(9781797, 10297448391, 0)",3
"(9782229, 26670300, 0)",1
"(9782231, 26670298, 0)",1
"(9782552, 5014679818, 0)",1
"(9782912, 9782985, 0)",1
"(9782912, 5187908035, 0)",1
"(9782953, 9782552, 0)",1
"(9782963, 9782953, 0)",1
"(9782977, 9782963, 0)",1
"(9782977, 1599661250, 0)",3
"(9783889, 58787506, 0)",1
"(9783908, 2719922628, 0)",1
"(9784469, 21310026, 0)",1
"(9784469, 21354275, 0)",2
"(9784608, 21310026, 0)",1
"(9784608, 430952899, 0)",1
"(9785020, 3231935193, 0)",2
"(9785891, 9785902, 0)",1
"(9787333, 498471962, 0)",5
"(9787333, 1947392598, 0)",2
"(9787333, 1947392602, 0)",4
"(9787529, 9787536, 0)",2
"(9787529, 9787606, 0)",1
"(9787529, 1599664984, 0)",2
"(9787536, 9787529, 0)",1
"(9787537, 9787536, 0)",1
"(9787537, 1599666771, 0)",3
"(9787537, 3153207992, 0)",2
"(9787559, 9787536, 0)",2
"(9787606, 1284137192, 0)",1
"(9787666, 9787610, 0)",1
"(9790543, 11186579284, 0)",1
"(9790563, 386246535, 0)",3
"(9790563, 2466197173, 0)",2
"(9790621, 21355475, 0)",1
"(9790630, 313240549, 0)",2
"(9790680, 9790885, 0)",3
"(9790680, 313240549, 0)",1
"(9790680, 5343912715, 0)",4
"(9790885, 9790680, 0)",2
"(9791084, 49999343, 0)",1
"(9791129, 9791132, 0)",1
"(9791129, 313099963, 0)",1
"(9791132, 9791129, 0)",1
"(9791227, 10302853376, 0)",2
"(9791509, 44977061, 0)",4
"(9791529, 54568263, 0)",1
"(9791699, 342579578, 0)",1
"(9791722, 26298435, 0)",1
"(9792428, 9237573, 0)",2
"(9792806, 9792808, 0)",1
"(9792806, 332484035, 0)",1
"(9792808, 9792806, 0)",2
"(9792808, 333790941, 0)",1
"(9793364, 495393686, 0)",1
"(9793495, 495393721, 0)",1
"(9793497, 367687189, 0)",3
"(9793497, 495393718, 0)",1
"(9793803, 4049333542, 0)",5
"(9794036, 9794035, 0)",1
"(9794044, 9794036, 0)",2
"(9794044, 2421592916, 0)",1
"(9794307, 2377604544, 0)",1
"(9821723, 50078309, 0)",1
"(9821920, 1164555787, 0)",4
"(9821957, 11186579311, 0)",3
"(9821991, 9790543, 0)",2
"(9821991, 9790563, 0)",5
"(9822002, 9821991, 0)",2
