Reference Number,Grid Ref: Easting,Grid Ref: Northing,Accident Date,Time (24hr),Casualties
21D1076,425639,426885,13-Jan-15,1800,2
21D1303,431698,433636,13-Jan-15,2021,5
21D1551,430909,436134,13-Jan-15,2320,1
21E0386,428607,431051,14-Jan-15,1114,1
21E0578,426068,427720,14-Jan-15,1328,2
21E0628,421621,440880,14-Jan-15,1349,1
21E0849,429118,432170,14-Jan-15,1555,1
21E1020,429064,433051,14-Jan-15,1640,1
21E1208,432878,425976,14-Jan-15,1925,2
21E1447,431079,430776,14-Jan-15,2025,1
21F0077,429304,433709,15-Jan-15,242,1
21F0211,425093,431059,15-Jan-15,829,2
21F0884,429759,434503,15-Jan-15,1600,1
21F1076,420311,439697,15-Jan-15,1730,1
21G0168,429941,427092,16-Jan-15,717,1
21G0202,437380,425668,16-Jan-15,810,2
21G0539,427798,426248,16-Jan-15,1205,5
21G1108,431142,430087,16-Jan-15,1732,1
21H0565,434602,436699,17-Jan-15,930,1
21H0638,434254,434318,17-Jan-15,1315,2
21I0242,427328,435078,18-Jan-15,1645,1
21I0756,427322,431991,18-Jan-15,1421,2
21I1028,423369,433968,18-Jan-15,1749,1
21J0605,434543,436492,19-Jan-15,1325,1
21J0614,430517,435180,20-Jan-15,830,1
21K0209,432549,427863,20-Jan-15,800,1
21K0325,431729,434575,19-Jan-15,1730,1
21K0332,424460,433646,19-Jan-15,1845,1
21K0584,423036,437648,20-Jan-15,1600,1
21K0903,429432,437313,20-Jan-15,1610,1
21K0978,437531,431994,20-Jan-15,1645,1
21K1112,431496,433971,20-Jan-15,1755,2
21K1129,440390,433068,20-Jan-15,1804,1
21L0199,433502,429763,21-Jan-15,807,1
21L0205,443586,435736,21-Jan-15,815,1
21L1572,430033,431012,21-Jan-15,2005,1
21M0295,427437,439298,21-Jan-15,830,2
21M1029,430429,433884,22-Jan-15,1410,1
21M1525,434410,434387,23-Jan-15,2044,1
21N0096,430489,424250,23-Jan-15,254,2
21N0194,430098,435394,23-Jan-15,729,2
21N0302,425190,427268,24-Jan-15,900,1
21N0922,431083,434212,23-Jan-15,1530,1
21O0494,426296,427802,24-Jan-15,1018,1
21O0590,434769,434613,24-Jan-15,1130,1
21O0635,433464,434043,24-Jan-15,1204,1
21O0668,432440,438770,24-Jan-15,1230,2
21O0726,426724,433859,24-Jan-15,1320,2
21O1487,428096,434518,24-Jan-15,2115,2
21O1665,430113,433381,24-Jan-15,15,1
21O1689,428561,433228,24-Jan-15,2315,1
21P0582,442985,431666,25-Jan-15,1145,3
21P1235,429470,435412,23-Jan-15,1530,1
21Q0276,421555,435968,26-Jan-15,820,1
21Q1239,425863,428018,26-Jan-15,1754,2
21Q1286,429282,433483,27-Jan-15,1650,1
21R0204,427721,434467,27-Jan-15,829,1
21R0405,429188,431919,26-Jan-15,1205,3
21R0538,424083,435506,27-Jan-15,1148,2
21R0702,430064,434407,27-Jan-15,1317,1
21R0747,429953,433341,23-Jan-15,2350,1
21R0973,434925,435580,27-Jan-15,1540,1
21R1099,430367,438562,27-Jan-15,1640,1
21S0284,427263,435169,28-Jan-15,900,1
21S0562,429568,431581,28-Jan-15,1219,1
21S0621,429257,435103,28-Jan-15,1250,1
21S1079,425664,435073,28-Jan-15,1638,2
21S1315,431198,431471,28-Jan-15,1833,3
21S1721,431830,430451,28-Jan-15,2300,1
21S1733,432355,439006,28-Jan-15,2320,1
21T0198,429972,435408,29-Jan-15,748,1
21T0327,440153,436591,29-Jan-15,915,1
21T0379,439562,434121,29-Jan-15,936,1
21T0436,441952,443793,29-Jan-15,1035,3
21T0573,428118,426285,30-Jan-15,1203,1
21T0922,435025,435960,29-Jan-15,1523,1
21U0557,432990,439177,30-Jan-15,1230,1
21U0856,426351,433095,30-Jan-15,1539,2
21U0906,438491,430216,30-Jan-15,1530,2
21U1084,432259,435797,30-Jan-15,1750,1
21U1696,428589,432991,30-Jan-15,2330,2
21V0431,430762,424534,31-Jan-15,857,2
21V0807,426131,439129,30-Jan-15,1945,1
21V0932,432036,435077,31-Jan-15,1532,1
21V0945,431170,431454,31-Jan-15,1328,1
2210358,422159,440602,01-Feb-15,528,1
2210619,426971,426044,01-Feb-15,1125,1
2210723,426309,435518,01-Feb-15,1255,1
2211177,430236,433914,01-Feb-15,2150,1
2211277,430093,431373,01-Feb-15,1850,1
2211294,430091,431324,01-Feb-15,1900,1
2220171,429954,436671,02-Feb-15,645,1
2220302,427857,436272,02-Feb-15,916,1
2220546,422495,434672,28-Feb-15,2100,1
2220583,431170,440727,02-Feb-15,1222,1
2220985,429780,431031,02-Feb-15,1600,1
2221365,432129,428989,02-Feb-15,1908,2
2221378,420954,434387,02-Feb-15,1915,3
2230178,431396,434774,03-Feb-15,806,1
2230222,431886,435476,03-Feb-15,852,1
2230528,431547,431656,03-Feb-15,1231,1
2230686,430639,434702,03-Feb-15,1402,2
2231452,427416,435989,03-Feb-15,2045,1
2231555,436174,427827,03-Feb-15,2200,1
2240201,429134,432107,04-Feb-15,811,1
2240349,428511,432651,04-Feb-15,1005,3
2240453,427602,431137,04-Feb-15,1145,1
2240784,435813,433195,04-Feb-15,1510,1
2240971,429780,433662,31-Jan-15,1345,1
2240975,435870,426026,04-Feb-15,1700,1
2241035,428861,433957,04-Feb-15,1725,2
2241082,440582,448843,04-Feb-15,1745,1
2241089,424844,434660,04-Feb-15,1800,1
2241529,432468,444999,04-Feb-15,2200,3
2250183,420401,434126,05-Feb-15,700,1
2250205,432059,427592,05-Feb-15,730,2
2250690,437590,433203,05-Feb-15,1312,1
2250906,424973,435145,05-Feb-15,1515,2
2251136,434422,425884,05-Feb-15,1709,1
2251205,426128,437195,05-Feb-15,1741,1
2251620,429069,433635,05-Feb-15,2130,2
2260181,430849,433188,06-Feb-15,650,1
2260452,433326,429964,06-Feb-15,1052,1
2260479,431212,436366,06-Feb-15,1112,2
2261053,427896,439768,06-Feb-15,1504,1
2261225,432130,435332,06-Feb-15,1802,1
2270632,432507,436313,07-Feb-15,1135,1
2270797,432516,427322,07-Feb-15,1427,1
2271302,423020,437656,07-Feb-15,1920,1
2280726,420981,434344,10-Feb-15,1311,1
2281069,429425,435804,08-Feb-15,1650,1
2290230,424999,427693,09-Feb-15,830,1
2290931,429103,438861,09-Feb-15,1525,4
2291295,430416,432797,09-Feb-15,1828,1
22A0154,422458,427904,10-Feb-15,655,1
22A0175,422219,433803,10-Feb-15,729,1
22A0193,430196,435204,10-Feb-15,740,1
22A0807,431825,438836,10-Feb-15,1415,1
22A0818,431806,430481,10-Feb-15,1424,1
22A1419,432317,436425,10-Feb-15,1715,2
22A1555,430864,434191,10-Feb-15,2035,1
22B0162,422303,428946,11-Feb-15,858,1
22B0878,433829,437220,11-Feb-15,1517,1
22B1545,429956,425128,11-Feb-15,2117,2
22C0635,430934,429947,12-Feb-15,1244,2
22C1019,433054,425927,12-Feb-15,1545,2
22C1257,430381,433493,12-Feb-15,1756,1
22C1287,424682,444843,11-Feb-15,1737,1
22D1495,428127,431168,13-Feb-15,2035,3
22E0455,427193,433530,14-Feb-15,955,1
22E0472,427324,434641,13-Feb-15,1730,1
22E0588,425401,437525,14-Feb-15,1105,4
22E1040,432391,435803,14-Feb-15,1515,1
22E1172,421488,434006,14-Feb-15,1757,1
22E1521,430790,433473,14-Feb-15,2201,1
22F0293,431959,430492,15-Feb-15,1645,1
22F1358,422994,432841,15-Feb-15,1715,1
22F1487,430738,433521,15-Feb-15,1654,1
22F1605,439069,433979,15-Feb-15,2245,1
22G0058,427471,438609,16-Feb-15,110,3
22G0191,439502,426183,16-Feb-15,615,1
22H0163,428750,431550,17-Feb-15,635,1
22H0208,425587,435781,17-Feb-15,815,1
22H0501,424346,437171,17-Feb-15,1905,1
22H0629,432374,434799,17-Feb-15,1313,1
22H0875,426495,427092,17-Feb-15,1522,1
22H1540,425061,435708,17-Feb-15,2048,2
22I0232,428783,433276,18-Feb-15,836,1
22I0340,427328,437198,18-Feb-15,1015,1
22I0889,430188,436207,18-Feb-15,1515,1
22I0966,432264,434593,18-Feb-15,1547,2
22I1162,443370,433250,18-Feb-15,1725,7
22I1714,430814,438329,18-Feb-15,1620,1
22J0348,421154,433254,19-Feb-15,925,1
22J0379,432279,432587,19-Feb-15,942,3
22J0565,442162,443341,19-Feb-15,1204,1
22J0743,424558,439518,19-Feb-15,1413,1
22K0007,430022,435539,20-Feb-15,3,1
22K0381,425654,443018,20-Feb-15,1010,2
22L0805,421043,434601,21-Feb-15,1411,1
22L1198,431194,438140,21-Feb-15,850,1
22L1303,424220,435597,21-Feb-15,1923,1
22L1564,439750,434129,21-Feb-15,2205,1
22M0335,423841,434266,22-Feb-15,702,1
22M0577,440434,448154,22-Feb-15,1153,1
22M0972,431860,430424,22-Feb-15,1646,2
22N1218,428385,436496,23-Feb-15,1819,1
22N1481,422226,441980,23-Feb-15,2110,4
22O0219,437634,438085,24-Feb-15,850,4
22O0220,429101,431733,24-Feb-15,853,1
22O0431,431899,434893,24-Feb-15,1126,1
22O0940,428460,432444,24-Feb-15,1715,1
22O2000,428107,426675,24-Feb-15,2000,1
22P0597,426250,431949,25-Feb-15,850,1
22P0838,435055,428912,25-Feb-15,835,2
22P1334,428097,434507,25-Feb-15,1920,6
22Q0226,424177,430454,26-Feb-15,740,2
22Q0270,427996,436017,26-Feb-15,836,1
22Q0461,429562,433444,26-Feb-15,1107,1
22Q0596,429805,438917,24-Feb-15,845,2
22Q0937,423521,434343,26-Feb-15,1610,5
22Q1166,426260,427860,26-Feb-15,1810,1
22Q1260,431980,435603,26-Feb-15,1906,1
22R0286,427897,431335,27-Feb-15,841,3
22R1506,430124,435390,27-Feb-15,2015,1
22R1697,422487,433980,27-Feb-15,2225,1
22S0252,428371,435023,28-Feb-15,322,1
22S0753,430555,435102,28-Feb-15,1100,1
22S0907,428465,435252,28-Feb-15,1339,1
2310171,435763,425932,01-Mar-15,153,2
2310434,426798,438033,01-Mar-15,802,1
2310685,422478,434670,28-Feb-15,1030,1
2310816,429996,428144,01-Mar-15,1300,1
2310981,433996,433979,01-Mar-15,1520,2
2320180,440337,435756,02-Mar-15,745,1
2320213,429103,438857,03-Mar-15,825,2
2320464,432531,443163,02-Mar-15,1120,4
2320601,431804,435588,02-Mar-15,1241,2
2321341,430902,435952,02-Mar-15,1930,1
2330259,432580,433787,03-Mar-15,909,1
2330307,428526,431536,03-Mar-15,940,1
2330617,430679,434587,03-Mar-15,1303,2
2330923,429845,434638,03-Mar-15,1550,1
2330970,425685,434208,03-Mar-15,1636,1
2340188,436186,431165,04-Mar-15,708,2
2340225,428609,431575,03-Mar-15,1535,1
2340457,421942,434350,04-Mar-15,1105,1
2341058,427824,436518,04-Mar-15,1645,1
2341183,426544,427134,04-Mar-15,1752,1
2341625,434465,433702,04-Mar-15,2216,1
2341666,429796,433924,04-Mar-15,2245,1
2350375,429198,435175,05-Mar-15,935,2
2350803,429793,438921,05-Mar-15,1330,1
2351208,429853,433793,05-Mar-15,1200,1
2351307,423612,437965,05-Mar-15,1810,1
2351575,426963,439789,05-Mar-15,1715,1
2351681,422247,442024,05-Mar-15,2150,1
2360395,432063,436089,06-Mar-15,950,2
2360564,423539,435419,06-Mar-15,1138,2
2361013,440880,447976,06-Mar-15,1535,1
2361157,425635,433081,06-Mar-15,1645,1
2361483,428336,431507,06-Mar-15,1926,1
2361492,430792,433466,06-Mar-15,1930,1
2370884,424535,428612,07-Mar-15,1350,5
2371243,431518,433635,07-Mar-15,1700,1
2371525,420578,433838,07-Mar-15,1145,1
2380771,419876,434085,08-Mar-15,1320,1
2381544,435747,435744,08-Mar-15,2135,1
2390864,429560,431565,09-Mar-15,1525,1
2391439,429129,432682,09-Mar-15,2020,1
2391641,429103,434722,09-Mar-15,2316,1
23A0186,429604,432956,10-Mar-15,728,1
23A0602,428808,432670,10-Mar-15,1115,1
23A1062,427942,427855,10-Mar-15,1625,1
23A1241,429999,434159,10-Mar-15,1740,1
23A1267,430104,431515,10-Mar-15,1750,1
23A1366,426332,435595,10-Mar-15,1835,1
23A1419,431884,435185,10-Mar-15,1905,1
23A1457,427139,433683,10-Mar-15,1928,2
23A1605,419064,441778,10-Mar-15,2128,1
23B0168,425817,442891,11-Mar-15,700,1
23B0494,429787,438924,11-Mar-15,1110,1
23B0500,429144,439793,11-Mar-15,1142,1
23B0696,421376,434608,11-Mar-15,1313,1
23C0382,438786,432598,12-Mar-15,1035,1
23C0479,423820,438292,12-Mar-15,1133,1
23C0612,439405,432437,12-Mar-15,1220,2
23C1231,426560,437637,12-Mar-15,1833,2
23D0595,429881,433504,13-Mar-15,1216,1
23D0978,431105,428363,13-Mar-15,1549,1
23D1134,431853,435790,13-Mar-15,1702,2
23D1408,430395,427898,13-Mar-15,1933,1
23D1441,429433,433471,13-Mar-15,1950,1
23E0663,420457,436485,14-Mar-15,1220,1
23E0930,428787,433276,13-Mar-15,928,1
23E1231,415362,442992,14-Mar-15,1735,1
23E1390,431020,438172,14-Mar-15,1100,1
23F0931,426644,437611,15-Mar-15,1545,1
23G0201,420987,434338,16-Mar-15,721,1
23G1056,427203,437824,14-Mar-15,315,1
23G1275,422553,437120,16-Mar-15,1855,2
23G1567,440299,434321,16-Mar-15,2210,2
23H0182,428792,431807,17-Mar-15,725,1
23H0230,425137,436550,17-Mar-15,825,1
23H0399,430303,435997,18-Mar-15,905,1
23H0425,426472,435776,17-Mar-15,1053,1
23H0621,432362,436364,17-Mar-15,1302,1
23I0977,435623,435067,18-Mar-15,1534,1
23J0112,427941,435715,19-Mar-15,336,1
23J1051,430245,431070,19-Mar-15,1639,1
23J1121,425480,435758,19-Mar-15,1705,1
23J1312,426563,437724,19-Mar-15,1840,1
23J1597,427506,425505,19-Mar-15,2213,6
23K1013,430733,433238,20-Mar-15,1440,1
23K1172,422443,433590,20-Mar-15,1625,1
23K1292,443629,436629,20-Mar-15,1720,1
23K1829,422447,432853,20-Mar-15,2155,2
23K1840,429568,423187,20-Mar-15,2204,3
23L0579,430911,433483,21-Mar-15,1107,1
23L1620,441157,433152,21-Mar-15,2100,1
23L1712,430337,433738,21-Mar-15,2205,1
23M0540,423540,435419,20-Mar-15,1645,1
23M1113,424748,444400,22-Mar-15,1600,1
23N0335,425246,428923,23-Mar-15,1035,1
23N0374,429386,434947,23-Mar-15,930,1
23N0612,423866,434265,25-Mar-15,1206,3
23N0837,432911,429583,23-Mar-15,1350,1
23O0636,429916,434261,23-Mar-15,30,1
23O0692,428043,432831,24-Mar-15,1235,2
23O0903,430747,435587,24-Mar-15,1550,1
23O1054,431063,430402,24-Mar-15,1700,1
23P0215,429949,424945,29-Mar-15,830,1
23P0419,432473,440147,25-Mar-15,1030,1
23P0631,432467,436501,25-Mar-15,1307,2
23P0647,440020,437467,25-Mar-15,1315,1
23P0731,428825,435232,03-Mar-15,1900,3
23P1019,424226,438984,26-Mar-15,1652,1
23P1088,432887,432128,25-Mar-15,1610,1
23Q0531,433645,432294,26-Mar-15,1135,1
23Q0577,430052,432661,26-Mar-15,1200,1
23Q0780,427472,436004,26-Mar-15,1407,1
23Q0798,427762,434693,26-Mar-15,1455,1
23Q1449,431955,434831,26-Mar-15,1935,1
23R0238,427378,434918,27-Mar-15,810,1
23R1384,430565,431807,27-Mar-15,748,2
23R1537,443109,433214,27-Mar-15,2030,5
23S0535,433968,428869,28-Mar-15,1015,1
23S0679,424419,438120,28-Mar-15,1209,2
23S0782,432959,439233,28-Mar-15,1319,1
23S1082,445458,431585,28-Mar-15,1630,1
23S1440,428948,435472,28-Mar-15,2015,2
23S1509,421074,441342,28-Mar-15,2057,2
23T0510,425264,432128,29-Mar-15,1140,4
23T0535,429104,432391,29-Mar-15,1215,1
23T0572,430683,432922,29-Mar-15,1250,1
23T0873,432784,435395,29-Mar-15,1620,1
23T1348,428486,434449,29-Mar-15,2241,1
23U0260,426034,439482,30-Mar-15,900,1
23U0437,431042,436500,30-Mar-15,1100,1
23U0452,444763,432446,30-Mar-15,1110,1
23U1433,428014,435482,30-Mar-15,1825,1
23V0060,432175,435631,31-Mar-15,104,4
23V0122,432021,435878,31-Mar-15,224,2
23V0433,430868,436344,30-Mar-15,2120,1
23V0449,430954,435909,10-Mar-15,830,1
23V1162,430113,434139,31-Mar-15,1200,1
23V1374,420537,441180,31-Mar-15,1935,1
23V1543,432672,436912,31-Mar-15,2010,1
2410244,428947,431095,01-Apr-15,837,1
2410297,430954,435909,01-Apr-15,918,1
2410323,429939,427156,01-Apr-15,720,1
2410505,440579,426178,01-Apr-15,1150,3
2410581,423426,437612,01-Apr-15,1229,1
2410639,422974,443050,01-Apr-15,1311,2
2411078,426560,437636,01-Apr-15,1710,1
2411225,433313,426326,01-Apr-15,1829,2
2411393,431402,435029,01-Apr-15,2005,2
2420258,432060,435967,02-Apr-15,830,1
2420283,427505,435442,02-Apr-15,848,1
2420907,433387,436914,01-Apr-15,1730,1
2421224,430849,434069,02-Apr-15,1645,1
2421638,423192,434656,02-Apr-15,2030,1
2421679,431916,435768,02-Apr-15,2100,1
2430623,432139,435308,03-Apr-15,1236,1
2441311,430801,435344,04-Apr-15,1910,1
2441585,430486,437095,04-Apr-15,2129,4
2450446,426807,438051,05-Apr-15,915,1
2450877,430333,433353,05-Apr-15,300,1
2460843,436044,436625,06-Apr-15,1435,1
2460974,430667,433033,06-Apr-15,1545,1
2460978,442804,430043,06-Apr-15,1500,5
2461335,435316,433760,06-Apr-15,1904,2
2461649,433143,436137,06-Apr-15,2035,1
2461835,431328,435459,06-Apr-15,2335,2
2470212,428477,440937,07-Apr-15,650,5
2470236,431541,425123,07-May-15,735,1
2470302,428408,428707,07-Apr-15,850,1
2471090,428333,429426,07-Apr-15,1545,1
2471402,420360,434249,07-Apr-15,1710,1
2480598,431430,435108,08-Apr-15,1226,1
2480749,434883,431172,08-Apr-15,1352,2
2480885,441176,448799,08-Apr-15,1450,1
2481294,428376,434061,08-Apr-15,800,1
2481330,427964,435659,08-Apr-15,1814,1
2481683,439524,426178,08-Apr-15,2050,1
2491283,424390,428121,09-Apr-15,1830,1
24A1196,443052,445597,10-Apr-15,1724,1
24A1424,421067,434231,10-Apr-15,1900,1
24A1503,425962,434813,10-Apr-15,1937,1
24A1627,433797,434675,10-Apr-15,2043,1
24B0116,430033,431028,11-Apr-15,121,2
24B0407,430715,433742,10-Apr-15,1240,1
24B0765,428111,435240,11-Apr-15,1410,1
24C0720,440671,446022,12-Apr-15,1320,1
24D0142,435790,436358,13-Apr-15,610,2
24D0548,429653,438791,13-Apr-15,1215,2
24D1285,418050,442626,13-Apr-15,1840,1
24E0669,420804,439746,14-Apr-15,1330,2
24E1093,427019,433118,14-Apr-15,1710,1
24E1213,433867,436536,14-Apr-15,1810,2
24F0250,430550,431104,15-Apr-15,841,1
24F0417,432713,438564,15-Apr-15,1053,1
24F1130,423698,442160,15-Apr-15,1731,1
24G0374,430397,437894,15-Apr-15,1000,1
24G0531,428067,431126,16-Apr-15,1138,2
24G0760,434791,437966,16-Apr-15,1358,1
24G0886,424393,445320,16-Apr-15,1455,1
24G1083,428934,433424,16-Apr-15,1445,2
24G1091,418483,443818,16-Apr-15,1635,1
24G1173,431034,437896,16-Apr-15,1415,1
24G1597,434696,434565,16-Apr-15,2030,1
24H0684,422230,435514,17-Apr-15,1315,1
24H0866,428116,426280,17-Apr-15,1442,2
24H0925,428893,425994,17-Apr-15,1430,1
24H1015,438495,430408,17-Apr-15,1553,3
24H1115,424732,434896,17-Apr-15,1640,1
24H1125,424586,434644,17-Apr-15,1647,1
24H1185,429330,433810,17-Apr-15,1045,1
24H1280,436054,428299,17-Apr-15,1757,1
24H1400,432700,433838,17-Apr-15,1330,1
24I1142,430479,433954,18-Apr-15,1656,1
24J0248,433446,426578,19-Apr-15,255,1
24J1015,430231,439102,19-Apr-15,1530,1
24J1094,424010,433985,19-Apr-15,1641,1
24K1310,428621,436944,20-Apr-15,1835,1
24K1326,428437,435708,20-Apr-15,1846,1
24K1671,429938,433392,20-Apr-15,1720,3
24L0178,433168,435237,21-Apr-15,725,1
24L0295,433814,433502,21-Apr-15,645,1
24L0653,425435,431280,21-Apr-15,1241,1
24L0986,424254,445392,21-Apr-15,1542,1
24L1279,424049,435490,21-Apr-15,1750,1
24L1298,421539,433443,21-Apr-15,1758,1
24M0203,428354,437572,22-Apr-15,730,1
24M0220,435674,434799,22-Apr-15,759,1
24M0233,435683,437259,22-Apr-15,840,3
24M0559,429610,435877,22-Apr-15,1230,1
24M0937,431175,431860,22-Apr-15,1510,2
24M1106,427125,432791,22-Apr-15,1630,2
24M1338,423921,434305,22-Apr-15,1815,1
24M1346,427148,433087,22-Apr-15,1734,1
24M1388,419976,446751,22-Apr-15,1840,1
24N0184,428864,433733,23-Apr-15,720,1
24N0512,429185,431924,23-Apr-15,1125,2
24N0570,424345,429253,23-Apr-15,1159,1
24N0821,425062,433367,23-Apr-15,1425,1
24N0835,431449,434180,23-Apr-15,1430,2
24N0936,429863,428116,23-Apr-15,1312,1
24N0964,427491,434943,23-Apr-15,1546,1
24N0973,426766,438353,23-Apr-15,1550,2
24N1046,430267,433745,23-Apr-15,817,2
24N1112,424524,437059,23-Apr-15,0,1
24N1293,430550,431065,23-Apr-15,1822,1
24O0302,428140,435853,24-Apr-15,830,1
24O0419,428948,433432,24-Apr-15,845,1
24O0818,435890,434756,24-Apr-15,1343,3
24O1100,424623,435090,24-Apr-15,1615,1
24O1206,425162,429001,24-Apr-15,1703,1
24O1732,432524,427558,24-Apr-15,2128,1
24O1880,427124,429470,24-Apr-15,2252,1
24P0442,427604,434514,25-Apr-15,940,1
24P0494,426821,434975,25-Apr-15,1010,2
24P0664,430865,435481,25-Apr-15,1212,1
24P1241,434901,436714,25-Apr-15,1715,1
24P1619,430511,431199,25-Apr-15,2200,3
24Q0502,432275,445684,26-Apr-15,1030,1
24Q0773,424083,435508,26-Apr-15,1330,2
24Q0922,427593,430848,26-Apr-15,1150,1
24Q1198,429428,434925,26-Apr-15,1754,1
24Q1317,426622,435290,26-Apr-15,1900,1
24R0153,428098,434518,27-Apr-15,659,1
24R0819,433086,434019,27-Apr-15,1431,1
24R0884,418925,441708,27-Apr-15,1504,1
24R0971,427524,436945,27-Apr-15,1540,1
24R1071,427688,436414,27-Apr-15,1640,1
24R1093,432549,434329,27-Apr-15,1635,1
24R1762,427443,436155,27-Apr-15,2310,1
24S0758,426269,434031,28-Apr-15,1142,1
24S0932,419931,441028,28-Apr-15,1555,1
24S1184,427871,436243,28-Apr-15,1754,1
24S1202,426379,435440,28-Apr-15,1720,1
24S1267,427610,434519,28-Apr-15,1833,1
24S1523,440470,448181,28-Apr-15,1223,1
24S1642,429474,435975,28-Apr-15,915,1
24T0286,432000,439731,29-Apr-15,900,1
24T0569,430088,431259,29-Apr-15,1124,1
24T0938,435274,433701,29-Apr-15,1607,1
24T1020,429748,433787,29-Apr-15,1445,1
24U0430,426234,438305,30-Apr-15,815,2
24U0781,431461,433557,30-Apr-15,1515,1
24U1189,418020,442669,01-Apr-15,1825,1
24U1280,430828,435454,30-Apr-15,1929,1
2510160,420714,439902,01-May-15,535,1
2510187,443215,439689,01-May-15,635,1
2510478,430872,436583,01-May-15,1105,2
2510795,427996,436017,01-May-15,1415,1
2510811,425636,426884,01-May-15,1325,1
2511452,433746,434946,01-May-15,1954,1
2520250,434582,425889,02-May-15,610,1
2521015,419801,432809,02-May-15,1620,1
2530022,421551,434731,03-May-15,15,2
2530101,436082,435693,03-May-15,110,1
2530358,421847,444071,03-May-15,1622,1
2530817,427878,434391,01-May-15,1818,1
2530839,437660,431541,03-May-15,1500,2
2531016,434881,433557,03-May-15,1707,1
2533382,420546,444956,03-May-15,850,2
2540536,438997,446045,04-May-15,1100,1
2540603,443629,436911,04-May-15,1145,1
2540782,427394,431458,04-May-15,1320,1
2541576,434451,433699,04-May-15,2035,2
2550074,435207,437595,05-May-15,200,1
2550265,424274,428351,05-May-15,840,1
2550406,432242,427028,05-May-15,1000,2
2550632,431522,435149,03-May-15,1715,1
2551157,436324,434706,05-May-15,1700,1
2551278,434363,434362,05-May-15,1810,5
2551283,430220,427189,05-May-15,1810,2
2551323,428927,438124,05-May-15,1835,1
2560221,432997,425921,06-May-15,804,4
2560367,434047,427722,06-May-15,845,1
2560685,429167,437678,06-May-15,1315,1
2561091,427649,434442,06-May-15,1700,1
2561154,430724,438280,06-May-15,1740,2
2561491,432631,434927,06-May-15,2055,1
2570328,431261,435015,07-May-15,925,1
2570638,429193,436402,07-May-15,1301,1
