Reference Number,Grid Ref: Easting,Grid Ref: Northing,Accident Date,Time (24hr),Casualties
1.30E+38,429969,434187,14-Mar-15,22,1
19C0493,445949,431172,09-Jan-15,1855,2
2.10E+207,428042,427809,14-Jan-15,844,2
2.20E+72,426782,438296,14-Feb-15,110,2
2.40E+245,422811,437414,14-Apr-15,825,4
2.50E+100,428574,432162,14-May-15,217,1
2.50E+192,443286,434764,14-May-15,700,1
2.50E+73,428093,430036,14-May-15,112,1
2110145,430902,432293,01-Jan-15,35,3
2111055,431254,445733,01-Jan-15,1045,1
2111114,435245,428899,01-Jan-15,1130,1
2111672,428479,433311,01-Jan-15,1750,1
2120569,425692,426859,02-Jan-15,1254,1
2120802,430096,437925,02-Jan-15,1510,1
2121559,431729,434573,02-Jan-15,2239,1
2130207,430334,433342,03-Jan-15,410,1
2130447,431483,435012,03-Jan-15,1130,1
2130502,431002,430603,03-Jan-15,1210,1
2130549,431618,436143,03-Jan-15,1250,4
2140617,427393,433660,04-Jan-15,1221,1
2140799,433530,436008,04-Jan-15,1438,1
2141182,431248,433688,04-Jan-15,1850,2
2150173,430157,432022,05-Jan-15,745,1
2150343,435555,434799,05-Jan-15,955,1
2150861,429827,438866,05-Jan-15,1530,1
2150935,427750,426259,05-Jan-15,1610,1
2151027,428705,433170,05-Jan-15,1714,1
2151182,429913,428087,05-Jan-15,1630,1
2160649,445389,446783,06-Jan-15,1420,1
2160771,436560,435996,06-Jan-15,1430,1
2160936,429174,431862,06-Jan-15,1759,1
2161029,429491,432913,06-Jan-15,1740,1
2161502,422652,440059,06-Jan-15,2347,2
2171061,432832,435205,07-Jan-15,1739,1
2180398,429361,439562,07-Jan-15,1500,1
2180457,426536,427737,08-Jan-15,1115,1
2180711,426456,427823,08-Jan-15,1416,1
2180987,430019,435534,08-Jan-15,1659,1
2181029,436361,428354,08-Jan-15,1715,1
2190196,430795,434511,09-Jan-15,655,1
2190220,427316,433304,09-Jan-15,737,1
2190482,432523,434725,09-Jan-15,1110,1
2190879,431313,431725,09-Jan-15,1524,1
2190930,435093,434736,09-Jan-15,1539,1
2191437,432225,440327,09-Jan-15,2010,4
2191539,435093,434736,09-Jan-15,1539,1
21A0339,428076,434307,10-Jan-15,820,1
21A0461,431207,426172,10-Jan-15,1011,1
21A0598,427691,434484,10-Jan-15,1130,1
21A0948,431560,435565,09-Jan-15,1800,1
21A0981,429617,430944,10-Jan-15,1541,2
21A1007,431648,437772,10-Jan-15,1558,1
21A1016,428587,427737,10-Jan-15,1605,1
21A1483,429305,435031,10-Jan-15,2154,2
21B1069,437065,436141,11-Jan-15,1817,1
21C0035,428981,433532,11-Jan-15,1830,2
21C0228,438495,430408,12-Jan-15,745,1
21C0347,436516,428540,12-Jan-15,930,1
21C0369,422964,437587,12-Jan-15,944,1
21C0387,431966,435835,13-Jan-15,915,1
21C0757,428841,433989,12-Jan-15,1354,1
21C0854,430625,424777,12-Jan-15,1500,1
21C1138,423924,434308,12-Jan-15,1740,1
21D0227,432292,444272,13-Jan-15,828,1
21D0302,426568,431849,13-Jan-15,925,1
21D0463,425108,438001,13-Jan-15,1120,1
21D0796,435043,436940,13-Jan-15,1525,1
21D0963,435431,439805,13-Jan-15,1655,3
