Reference Number,Grid Ref: Easting,Grid Ref: Northing,Accident Date,Time (24hr),Casualties
1.50E+165,429859,428347,14-May-14,650,1
1.50E+252,424018,438467,14-May-14,823,1
1.50E+271,432631,434927,14-May-14,840,1
1.60E+184,434298,442312,14-Jun-14,205,1
1.60E+242,427979,436047,23-May-14,2230,1
1.70E+235,418999,442122,14-Jul-14,705,1
1112091,429175,431904,01-Jan-14,1840,1
1180869,430429,431025,08-Jan-14,1430,2
11A0238,424660,427582,10-Jan-14,817,2
11A0628,432917,425961,10-Jan-14,1220,1
11S1208,432248,427099,28-Jan-14,1828,1
1211556,426513,435659,01-Aug-14,2000,1
1221002,424112,428080,02-Feb-14,1531,1
1270266,430391,430939,07-Feb-14,824,2
12F1262,433137,433635,25-Feb-14,1800,1
12H1186,426045,427745,17-Feb-14,1728,1
12H1210,429147,431787,17-Feb-14,1735,1
12H1381,425059,433376,17-Feb-14,1905,1
12I0039,430708,439230,18-Feb-14,46,1
12I0740,432436,434843,18-Feb-14,1320,1
12I0834,430306,434778,18-Feb-14,1422,1
12I1006,431896,434915,18-Feb-14,1545,3
12I1203,428282,433512,18-Feb-14,1720,1
12I1281,425763,435423,18-Feb-14,1802,1
12I1450,429387,434948,18-Feb-14,1944,1
12I1578,424145,430427,18-Feb-14,2052,1
12I1769,428836,440130,18-Feb-14,2318,1
12J0189,426677,431760,19-Feb-14,655,1
12J0433,429092,429970,19-Feb-14,1028,1
12J0994,429475,439388,19-Feb-14,1550,1
12J1142,426308,437694,19-Feb-14,1639,1
12J1435,430951,435935,19-Feb-14,1430,1
12J1654,431884,435515,19-Feb-14,2040,4
12K0297,422145,428046,19-Feb-14,1725,1
12K0444,421474,445803,20-Feb-14,1053,1
12K0450,437041,438282,20-Feb-14,1055,1
12K0781,428776,433265,20-Feb-14,1355,2
12K0913,430683,432507,20-Feb-14,1500,1
12K1147,431889,434978,20-Feb-14,1645,1
12K1171,431384,430549,20-Feb-14,1655,4
12K1446,424933,434423,20-Feb-14,1827,2
12K1752,428893,432890,20-Feb-14,2220,2
12L0239,430945,433122,21-Feb-14,807,1
12L0539,439477,432443,21-Feb-14,1530,1
12L0561,432382,435070,21-Feb-14,1205,2
12L0945,432858,435382,21-Feb-14,1535,2
12L0965,430959,433432,21-Feb-14,1545,1
12L1445,421620,445945,21-Feb-14,1950,1
12M0056,428974,435464,22-Feb-14,29,1
12M0800,427362,431156,21-Feb-14,920,1
12M0822,430373,433481,22-Feb-14,1245,1
12M1517,426773,435723,22-Feb-14,1853,2
12M1932,427423,433046,22-Feb-14,2230,1
12N0893,435901,428601,23-Feb-14,1300,1
12N0997,431928,428128,23-Feb-14,1435,1
12N1293,430091,435427,23-Feb-14,1545,2
12N1424,435232,427614,23-Feb-14,1840,2
12N1843,429804,433477,23-Feb-14,2303,1
12O0014,426807,432112,24-Feb-14,14,1
12O0439,430066,433771,24-Feb-14,1036,1
12O0947,422418,433289,24-Feb-14,1510,1
12O1071,441096,432393,24-Feb-14,1605,1
12O1082,435125,445093,24-Feb-14,1605,5
12O1093,429383,434947,24-Feb-14,1610,1
12O1421,430634,433453,24-Feb-14,1835,1
12O1573,431251,445731,24-Feb-14,1950,1
12P0232,429922,427806,25-Feb-14,809,2
12P0236,418975,442004,25-Feb-14,810,6
12P0254,423328,443471,25-Feb-14,835,1
12P0269,435573,425902,25-Feb-14,846,2
12P0951,430454,437507,25-Feb-14,1530,2
12P1279,429051,435525,25-Feb-14,1824,1
12Q0398,431107,433740,26-Feb-14,953,1
12Q0928,431517,434295,26-Feb-14,1505,1
12Q1027,430437,434391,26-Feb-14,1545,4
12Q1511,431959,430490,26-Feb-14,1725,1
12R0178,423047,437663,27-Feb-14,549,1
12R0675,430717,434135,27-Feb-14,1300,2
12R1124,437735,433076,27-Feb-14,1654,1
12R1413,429180,431912,27-Feb-14,1916,2
12S1056,428224,435786,28-Feb-14,1609,1
12S1059,437227,433425,28-Feb-14,1605,1
12S1268,430460,431125,28-Feb-14,1730,2
12S1494,429429,433462,28-Feb-14,1915,1
1311240,428431,435003,01-Mar-14,1627,2
1311578,432515,434885,01-Mar-14,1915,1
1320442,430692,424510,01-Mar-14,1835,1
1330277,429137,435242,03-Mar-14,855,1
1331079,432278,436992,03-Mar-14,1600,1
1340155,427915,436171,04-Mar-14,642,1
1340208,426996,437458,04-Mar-14,736,1
1340463,441635,444450,04-Mar-14,1111,1
1341172,430325,424149,04-Mar-14,1737,1
1341363,429321,430673,04-Mar-14,1859,2
1341397,432120,432882,04-Mar-14,1915,1
1350602,429689,427938,05-Mar-14,1200,1
1351484,421715,440990,05-Mar-14,1900,1
1360255,427180,434761,06-Mar-14,847,1
1360958,429050,433526,05-Mar-14,1230,1
1361391,435951,428252,06-Mar-14,1935,1
1370105,422649,440068,07-Mar-14,235,1
1370281,433177,434019,07-Mar-14,845,3
1370345,420792,439584,07-Mar-14,1717,1
1370413,426124,437014,07-Mar-14,1010,1
1370605,424253,433564,07-Mar-14,112,1
1371061,422218,433361,07-Mar-14,815,1
1371067,428097,434762,07-Mar-14,1500,1
1371129,433909,434031,07-Mar-14,1620,1
1371450,430393,433628,07-Mar-14,1756,1
