Reference Number,Grid Ref: Easting,Grid Ref: Northing,Accident Date,Time (24hr),Casualties
2181280,418241,442351,08/01/2016,1905,1
2191037,424993,432898,09/01/2016,1615,1
2CQ0870,431159,436397,15/01/2016,1645,2
3111091,439313,432376,01/01/2016,956,1
3111178,426994,439957,01/01/2016,1115,1
3111395,427813,431257,01/01/2016,1352,1
3111981,431496,432727,01/01/2016,2015,1
3120560,431880,430498,02/01/2016,1110,1
3120872,429425,433999,02/01/2016,1638,2
3130442,435325,433760,03/01/2016,1150,3
3130444,429147,431999,03/01/2016,1154,1
3130532,427651,433421,03/01/2016,1252,1
3130769,440619,446100,03/01/2016,1543,1
3130786,433130,436116,03/01/2016,1555,2
3130805,428943,433430,03/01/2016,1615,2
3130885,431884,435070,03/01/2016,1650,1
3140260,422045,434280,04/01/2016,1730,1
3140730,443157,448516,04/01/2016,1413,1
3141054,431210,439310,04/01/2016,1700,2
3151110,420945,439962,05/01/2016,1752,1
3151301,436574,435725,05/01/2016,1930,1
3160260,432960,440281,06/01/2016,815,1
3160311,431925,434792,06/01/2016,800,1
3160793,426228,431783,06/01/2016,1410,1
3161000,429741,436518,06/01/2016,1520,1
3161098,429959,433326,06/01/2016,1723,1
3161298,428511,433054,06/01/2016,1355,2
3161323,430562,436939,06/01/2016,1919,1
3161328,427362,433970,06/01/2016,1915,2
3170622,436173,427637,07/01/2016,1300,2
3170694,440850,434501,07/01/2016,1350,1
3170743,431467,432679,07/01/2016,1435,1
3170766,429766,433410,07/01/2016,1220,1
3170948,428638,433182,07/01/2016,1607,2
3171039,438950,431555,07/01/2016,1643,2
3171722,424108,431567,07/01/2016,2345,1
3180831,427023,424758,08/01/2016,1435,1
3181079,431351,435059,08/01/2016,1706,1
3181260,434969,436415,08/01/2016,1835,1
3181333,427496,425485,08/01/2016,1936,3
3190305,420396,445354,09/01/2016,505,1
3190541,430549,427292,09/01/2016,1144,1
3190903,437677,425385,09/01/2016,1512,3
3191196,441059,432040,09/01/2016,1230,3
3191206,430876,434256,09/01/2016,1810,2
3191223,427527,434393,09/01/2016,1755,1
3191315,426474,428544,09/01/2016,1930,1
3191376,429199,431548,09/01/2016,2013,1
31A0692,427379,438571,10/01/2016,1330,2
31A0736,420319,445361,10/01/2016,1400,1
31B0226,431554,430540,11/01/2016,814,1
31B0246,427569,434540,11/01/2016,740,1
31B0266,431661,437523,11/01/2016,853,1
31B0488,424994,432563,11/01/2016,1140,1
31B1060,429933,432767,11/01/2016,1736,1
