Reference Number,Grid Ref: Easting,Grid Ref: Northing,Accident Date,Time (24hr),Casualties
31B1310,428473,434341,11/01/2016,2005,1
31C0236,427127,434793,12/01/2016,905,1
31C0900,424579,433688,12/01/2016,1618,1
31D0289,430237,433264,07/01/2016,2155,1
31D0487,426639,433017,13/01/2016,1200,1
31D0503,426060,431588,12/07/2016,800,1
31D0885,431529,433104,13/01/2016,1510,1
31D1135,436642,425938,13/01/2016,1720,2
31D1322,428460,431348,13/01/2016,1850,3
31E0257,425976,427855,14/01/2016,844,2
31E0436,430113,434139,13/01/2016,1705,1
31E0606,433391,434055,14/01/2016,1245,1
31E0658,421753,432698,14/01/2016,1334,1
31E0963,432820,432033,14/01/2016,1623,1
31E0981,435033,434695,14/01/2016,1645,1
31E1090,429097,434722,14/01/2016,1545,1
31E1099,432287,434644,14/01/2016,1745,2
31F0333,420214,445629,14/01/2016,1215,1
31F0855,429145,431748,15/01/2016,1442,2
31F1081,424569,434444,15/01/2016,1650,1
31F1111,431874,435948,15/01/2016,1700,1
31F1272,432061,435963,15/01/2016,1837,1
31F1687,424982,432677,15/01/2016,2216,3
31G0345,429683,439068,16/01/2016,850,1
31G0363,430907,432292,16/01/2016,850,1
31G0477,429767,438911,16/01/2016,1100,1
31G0824,423746,444348,16/01/2016,1415,2
31G1257,426200,431900,16/01/2016,1257,1
31G1285,431912,434798,16/01/2016,1600,1
31G1463,428987,437127,16/01/2016,1939,1
31I0172,428087,434526,18/01/2016,620,1
31I1016,432064,428597,18/01/2016,1557,1
31I1110,426248,438496,18/01/2016,1649,1
31I1123,430813,433940,18/01/2016,1652,1
31I1222,430947,433304,18/01/2016,1740,1
31I1266,426507,437848,18/01/2016,1620,2
31J0507,429187,433851,19/01/2016,830,1
31J0604,427484,434917,19/01/2016,1226,1
31J1102,432257,435098,19/01/2016,1656,1
31J1219,431496,432640,19/01/2016,1805,4
31K1170,419359,441836,20/01/2016,1740,1
31K1255,430901,436559,20/01/2016,805,1
31K1386,437040,438286,20/01/2016,1935,2
31K1457,431892,434947,20/01/2016,2015,1
31K1516,443265,445843,20/01/2016,750,1
31K1591,430490,426386,20/01/2016,2130,1
31K1618,427298,433638,20/01/2016,2000,1
31L0241,436008,437469,21/01/2016,815,1
31L0274,431113,430719,21/01/2016,845,1
31L0335,429614,439792,21/01/2016,934,1
31L0756,422015,433952,21/01/2016,1430,1
31L0811,423019,433730,21/01/2016,1505,1
31L1040,428607,435259,21/01/2016,1708,1
31L1163,423301,434736,21/01/2016,1807,1
31L1270,428256,434151,21/01/2016,1910,2
31M0236,428509,433061,22/01/2016,815,1
31M0925,426505,435684,22/01/2016,1552,1
31M1173,427994,435196,22/01/2016,1746,1
31M1189,427014,431619,22/01/2016,1800,1
31N1341,431512,435123,23/01/2016,1900,3
31N1501,427099,433296,23/01/2016,2035,1
31N1522,423560,434338,23/01/2016,2046,1
31N1675,426292,435586,23/01/2016,2235,1
31O0822,434421,438350,24/01/2016,1350,1
31O1246,429424,431366,24/01/2016,1759,1
31P0243,426612,433094,25/01/2016,745,1
31P0247,426820,434978,25/01/2016,836,1
31P0315,430554,433739,25/01/2016,925,1
31P0683,426782,433631,25/01/2016,1305,1
31Q0218,427302,435777,26/01/2016,825,1
31Q0748,426197,433182,26/01/2016,1400,1
31Q1048,429848,432293,26/01/2016,1640,1
31Q1371,431285,433868,26/01/2016,1021,1
31R1032,428639,435192,26/01/2016,1050,3
31R1458,422870,432283,27/01/2016,2015,1
31R1533,440744,428684,27/01/2016,2005,1
31R1561,428866,431649,27/01/2016,2122,1
31S0136,430554,431061,28/01/2016,254,1
31S0469,435929,435500,28/01/2016,1023,1
31S1052,428041,435078,08/01/2016,735,1
31S1218,432689,433854,28/01/2016,1730,2
31S1231,428231,436525,28/01/2016,1740,1
31S1268,429309,435021,28/01/2016,1610,1
31S1341,432284,435051,28/01/2016,1839,1
31S1591,431863,430421,22/01/2016,1310,1
31S1678,429788,433491,28/01/2016,2219,1
31T0239,425235,432958,29/01/2016,740,1
31T0267,436483,435032,29/01/2016,800,1
31T0287,430535,433451,29/01/2016,815,1
31T0329,427821,436511,28/01/2016,1940,1
31T0338,429810,434420,29/01/2016,859,1
31T0435,424679,433610,29/01/2016,1007,1
31T0591,431324,431708,29/01/2016,1145,1
31T0680,428972,435484,27/01/2016,1529,1
31T1056,432945,433980,29/01/2016,1540,1
31T1234,443097,440631,29/01/2016,1711,4
31T1394,432291,436287,29/01/2016,1826,1
31T1516,428534,437104,29/01/2016,1930,1
31T1712,422903,434711,29/01/2016,2110,1
31U0278,426797,433071,30/01/2016,430,1
31U0525,422627,433537,30/01/2016,1040,1
31U0881,435951,435475,30/01/2016,1245,1
31U1291,431825,430454,30/01/2016,1855,1
31V0635,431404,435028,31/01/2016,1155,5
31V0671,420275,445365,31/01/2016,1146,1
31V0877,425664,439612,31/01/2016,1450,1
31V1126,429948,436664,31/01/2016,1734,1
31V1251,430036,434078,31/01/2016,1535,1
3210161,440272,449564,01/02/2016,500,1
3210421,429812,438919,29/01/2016,1800,1
3210475,431026,433540,01/02/2016,1039,1
3210607,435675,434795,01/02/2016,1205,2
3210942,431881,435453,01/02/2016,1530,1
3210980,432858,435382,01/02/2016,1545,3
3211478,426743,427878,01/02/2016,1510,1
3220231,432173,425966,02/02/2016,810,1
3220493,430785,424533,02/02/2016,1126,1
3221429,427896,436200,02/02/2016,1800,1
3221533,431966,435835,02/02/2016,2205,1
3230659,429466,427604,03/02/2016,1306,2
3230661,429373,433781,03/02/2016,1319,1
3230666,439049,426668,03/02/2016,1321,1
3230777,426013,433936,03/02/2016,1215,1
3230848,420428,440372,03/02/2016,1507,3
3230884,422305,443629,03/02/2016,920,1
3230901,419911,445189,03/02/2016,1145,1
3231158,431027,430577,03/02/2016,1747,1
3231217,432844,434994,03/02/2016,1513,1
3231235,429109,433552,03/02/2016,1620,1
3231343,429464,433392,02/02/2016,645,1
3240129,429514,433793,04/02/2016,400,2
3240312,431583,429064,03/02/2016,845,1
3241275,432823,435217,04/02/2016,1804,1
3241773,429146,433505,04/02/2016,2305,2
3250020,429937,433040,05/02/2016,5,1
3250482,445958,431183,09/01/2016,1855,2
3250763,427967,435720,05/02/2016,1337,3
3250808,427749,436433,05/02/2016,1359,1
3250909,427283,433766,05/02/2016,1445,2
3251140,429461,436019,05/02/2016,1639,1
3260392,435658,440202,06/02/2016,840,1
3260640,431034,424695,06/02/2016,1214,1
3260782,436518,434022,06/02/2016,1344,1
3261079,431603,426687,06/02/2016,1645,1
3261181,434792,437967,06/02/2016,1734,1
3261396,436229,435593,31/01/2016,1925,1
3261553,428307,434106,06/02/2016,1130,1
3271019,424689,435030,07/02/2016,1512,1
3271173,435942,433600,07/02/2016,1800,4
3271224,433388,435467,07/02/2016,1830,2
3271461,436117,431173,07/02/2016,2105,3
3271538,428096,434513,07/02/2016,2205,1
3280172,428266,435438,08/02/2016,725,1
3280245,432569,429755,08/02/2016,847,1
3280323,430233,433333,06/02/2016,2220,1
3280497,431763,434251,08/02/2016,1135,1
3280742,423180,438141,08/02/2016,1407,1
3281144,432344,434497,08/02/2016,1725,2
3281345,426852,438038,08/02/2016,1920,1
3290175,424970,435142,09/02/2016,719,1
3290295,428024,433585,09/02/2016,915,1
3290404,436085,434788,09/02/2016,1030,1
3290649,436212,434702,09/02/2016,1255,1
3290799,425915,432238,09/02/2016,245,1
3290991,436224,434331,09/02/2016,1624,1
3291007,430409,431174,09/02/2016,1620,1
3291018,425412,434440,09/02/2016,1635,1
3291048,424556,437051,09/02/2016,1648,1
3291328,426819,438050,09/02/2016,1911,1
32A0255,431616,436135,10/02/2016,838,1
32A0287,431131,431918,10/02/2016,835,1
32A0786,423481,437594,10/02/2016,1405,1
32A1014,423866,434241,10/02/2016,1600,1
32A1044,434148,436938,10/02/2016,1600,1
32A1238,427162,437352,10/02/2016,1800,5
32A1438,425058,433373,10/02/2016,1930,1
32A1442,424218,428259,10/02/2016,1929,1
32A1660,430437,434358,10/02/2016,2130,1
32B0228,442702,445791,11/02/2016,805,1
32B0285,438581,432673,11/02/2016,846,1
32B0328,436841,431001,11/02/2016,835,1
32B0846,428600,431451,11/02/2016,1450,1
32B1038,427879,434381,11/02/2016,1530,1
32B1286,428107,426678,11/02/2016,1835,1
32C0191,429948,433352,12/02/2016,714,1
32C0225,434607,430927,12/02/2016,800,1
32C0905,429135,431738,12/02/2016,1535,1
32C1498,431772,430481,12/02/2016,2026,1
32C1685,428264,426392,12/02/2016,2206,1
32C1731,425960,434783,12/02/2016,2231,1
32D0064,430208,434927,13/02/2016,35,1
32D0451,434412,434384,13/02/2016,900,4
32D0623,428340,434090,12/02/2016,900,1
32D0826,432032,430318,13/02/2016,1330,1
32D1006,428511,433057,13/02/2016,1911,2
32E0496,440576,432104,14/02/2016,1025,1
32E0497,426032,435589,14/02/2016,1028,1
32E0890,427998,434352,14/02/2016,1455,1
32F0462,426871,437555,15/02/2016,1045,2
32F0709,434799,429074,15/02/2016,1256,1
32F1106,430003,432901,15/02/2016,830,1
32F1408,429810,424615,15/02/2016,1847,1
32F1793,430584,438148,15/02/2016,2244,1
32G0261,443407,445396,16/02/2016,805,1
32G0429,420675,440811,16/02/2016,1020,1
32G0480,426888,438864,16/02/2016,1000,1
32G1099,430051,431064,16/02/2016,1616,1
32G1604,430421,433462,16/02/2016,2027,1
32G1701,429099,426571,16/02/2016,2132,1
32H0532,428838,440110,17/02/2016,1054,1
32H0896,431923,434803,16/02/2016,1530,1
32H1090,425600,440033,17/02/2016,1715,1
32H1254,432145,435890,17/02/2016,1905,1
32H1634,425412,440392,18/02/2016,2222,1
32H1691,429702,433456,17/02/2016,1830,1
32I0253,440004,442847,18/02/2016,805,1
32I0469,432128,429220,18/02/2016,1651,1
32I0593,420715,440962,18/02/2016,1209,1
32I0616,429028,437510,18/02/2016,1220,1
32I0887,419503,445035,18/02/2016,1458,1
32I1129,421775,435372,18/02/2016,1700,1
32I1145,420303,445745,15/02/2016,1115,1
32I1264,427248,439081,18/02/2016,1800,1
32I1269,421717,435131,18/02/2016,1805,1
32I1408,430724,439242,18/02/2016,1915,1
32I1532,427937,435732,18/02/2016,2020,1
32I1679,427554,434485,18/02/2016,2140,4
32J0881,421020,434317,18/02/2016,730,1
32J1040,430505,432719,19/02/2016,1613,1
32J1536,430706,427466,19/02/2016,2050,1
32J1632,428113,435276,19/02/2016,2100,1
32J1798,426513,435659,19/02/2016,2340,2
32K0561,429621,428104,20/02/2016,1030,1
32K0925,442170,443052,19/02/2016,2110,1
32L0367,429775,438891,21/02/2016,810,1
32M0294,433365,436190,22/02/2016,834,1
32M0468,433125,435706,22/02/2016,1106,1
32M1006,431233,434797,22/02/2016,1605,2
32M1163,432303,434915,22/02/2016,1615,1
32M1187,431767,434950,22/02/2016,1719,1
32N0241,442023,430738,23/02/2016,812,1
32N0682,418450,445772,23/02/2016,1258,1
32N1415,435025,436912,23/02/2016,910,1
32O0462,437793,432487,24/02/2016,1040,2
32O0549,437308,435785,09/02/2016,1555,1
32P0090,421932,432859,25/02/2016,159,1
32P0195,428545,432103,25/02/2016,652,1
32P0331,425706,435409,25/02/2016,840,1
32P0348,428562,434527,25/02/2016,920,2
32P0435,420486,445127,25/02/2016,1010,1
32P0482,430346,435926,25/02/2016,1050,1
32P0687,435854,426139,25/02/2016,1305,1
32P0800,430517,439248,25/02/2016,1405,1
32P1002,433150,435254,25/02/2016,1550,1
32P1022,436353,433731,25/02/2016,1545,2
32P1428,421064,434481,25/02/2016,1810,1
32Q0170,419988,441167,26/02/2016,647,1
32Q0653,430770,433455,26/02/2016,1300,1
32Q0711,440665,446078,26/02/2016,1340,4
32Q0967,433838,434449,28/02/2016,1540,1
32Q0978,433869,436509,26/02/2016,1525,1
32Q1456,424683,438564,27/02/2016,2017,1
32Q1721,429595,435397,26/02/2016,2235,1
32R0027,425057,433281,27/02/2016,11,1
32R0154,431623,426334,27/02/2016,206,5
32R1322,429584,435583,27/02/2016,1915,1
32R1361,427743,425799,27/02/2016,1940,4
32S0671,437977,429964,28/02/2016,1037,1
32S0952,424767,435352,28/02/2016,1432,1
32S1276,426139,437275,28/02/2016,1730,1
32S1329,430998,430603,28/02/2016,1810,4
32S1488,430429,430997,28/02/2016,1945,2
32S1796,439308,426154,28/02/2016,2348,1
32T0243,428027,426413,29/02/2016,825,1
32T0646,427933,426301,29/02/2016,1300,1
32T0862,424772,435869,29/02/2016,1445,1
32T1043,430436,430787,29/02/2016,1630,1
32T1423,424776,434078,29/02/2016,1950,1
32T1533,421952,436533,29/02/2016,2059,2
3310258,443655,437652,01/03/2016,855,1
3310294,427620,433951,01/03/2016,910,1
3310740,424049,435487,01/03/2016,1352,1
3311182,430959,435871,01/03/2016,1755,1
3311442,430221,432990,01/03/2016,1951,1
3320182,430335,439815,02/03/2016,730,1
3320201,426441,428146,02/03/2016,737,1
3320255,431556,435177,02/03/2016,853,1
3320317,441601,448977,02/03/2016,932,3
3320331,431201,440854,02/03/2016,935,1
3320404,429963,432509,02/03/2016,930,2
3320438,433452,434124,02/03/2016,1025,1
3320582,435923,428214,02/03/2016,1135,1
3320615,440279,449563,02/03/2016,615,1
3320826,420655,440393,02/03/2016,1400,1
3320906,422951,433067,02/03/2016,1512,1
3320943,427654,436653,01/03/2016,1700,1
3321026,423226,435058,02/03/2016,1617,1
3321204,427983,435228,02/03/2016,1737,1
3330227,424691,434962,03/03/2016,745,1
3331696,433053,433994,03/03/2016,2100,1
3331766,425730,442965,03/03/2016,2224,1
3340376,426173,427426,04/03/2016,934,1
3340675,431658,440509,03/03/2016,1400,1
3350692,440895,448718,05/03/2016,1238,2
3350717,430475,431752,05/03/2016,1253,1
3351037,430659,434702,05/03/2016,1610,2
3360593,428697,429546,06/03/2016,1115,6
3360648,426949,433344,06/03/2016,1155,2
3361088,428578,432990,06/03/2016,1645,2
3361232,419631,444880,06/03/2016,1755,1
3361549,428837,440134,06/03/2016,1515,1
3361675,431899,434792,06/03/2016,2302,1
3370178,430637,433678,07/03/2016,718,1
3370184,441291,428176,07/03/2016,727,1
3370235,428872,431633,07/03/2016,740,2
3370266,430962,435766,07/03/2016,840,4
3370389,429059,433858,07/03/2016,825,1
3371009,438330,430260,07/03/2016,1555,1
3371018,442982,431717,07/03/2016,1600,1
3371081,426223,432785,07/03/2016,1630,1
3371323,424775,425469,07/03/2016,1833,1
3371397,427100,433694,07/03/2016,1820,1
3380981,435201,434868,16/02/2016,1720,1
3390203,426316,437709,09/03/2016,801,2
3390252,430850,435449,09/03/2016,844,1
3390679,429623,434237,09/03/2016,1340,1
3390786,426032,435589,09/03/2016,1500,1
3390830,425172,432372,09/03/2016,1526,1
3390843,430291,433534,09/03/2016,1440,1
33A0255,427184,434758,10/03/2016,715,1
33A1079,430983,434451,10/03/2016,1630,1
33A1209,430409,431031,10/03/2016,1730,2
33A1810,428897,435510,10/03/2016,2324,1
33B1196,430619,431831,11/03/2016,1215,1
33B1352,435431,439805,11/03/2016,1807,3
33C0922,436058,431195,12/03/2016,1453,1
33C1424,433247,434049,12/03/2016,1904,1
33C1952,425020,435339,12/03/2016,2320,1
33D0462,429430,433469,13/03/2016,900,1
33D0994,427836,436303,13/03/2016,1420,1
33D1154,428112,426644,13/03/2016,1620,1
33D1710,431263,426519,13/03/2016,2140,1
33E1272,436158,434596,14/03/2016,1720,1
33F0485,439979,432382,15/03/2016,1030,1
33F0880,443502,438355,15/03/2016,1448,1
33F1157,429023,432295,15/03/2016,1712,1
33F1251,429920,438507,15/03/2016,1755,1
33G0274,429589,436620,16/03/2016,850,1
33G0432,431885,430498,16/03/2016,1040,2
33G0992,426122,439160,16/03/2016,1604,1
33H0332,432052,436201,17/03/2016,920,2
33H0345,435440,435683,17/03/2016,1500,1
33H0479,436095,434775,16/03/2016,1630,1
33H1024,426098,428271,17/03/2016,1600,1
33I0926,420025,434134,18/03/2016,1515,1
33I0967,431243,429712,18/03/2016,1500,1
33I1052,424662,433596,18/03/2016,1615,1
33I1529,434622,435681,18/03/2016,2025,1
33J0282,442405,442611,19/03/2016,440,2
33J0779,437724,425283,19/03/2016,1202,2
33J0896,431959,438903,19/03/2016,1416,1
33K0386,426848,438045,20/03/2016,810,1
33K0810,428922,433430,20/03/2016,1200,1
33K0914,437162,425798,20/03/2016,1430,1
33K0934,429512,430284,20/03/2016,1430,3
33K1104,431348,434957,20/03/2016,1600,5
33K1466,427297,433633,20/03/2016,1929,1
33L0014,427552,426312,21/03/2016,40,1
33L0442,430264,433752,21/03/2016,1010,1
33M0196,426230,431902,22/03/2016,720,1
33M1252,430107,432823,22/03/2016,1800,1
33M1474,429914,432852,22/03/2016,2005,1
33N0519,430551,432342,23/03/2016,1207,1
33N0965,433604,432074,23/03/2016,1710,1
33N1424,431880,435220,08/03/2016,1424,2
33O1560,433008,437096,24/03/2016,2045,1
33P0429,443249,439304,25/03/2016,1000,4
33P0657,443638,436915,25/03/2016,1220,4
33P0920,426190,427439,25/03/2016,1410,1
33P1048,415290,441400,25/03/2016,1555,1
33P1342,424090,428105,25/03/2016,1800,1
33Q0648,429574,435901,26/03/2016,1055,1
33Q1029,437868,433015,26/03/2016,1029,1
33Q1071,426250,434042,26/03/2016,1151,1
33Q1107,430069,433848,26/03/2016,1340,1
33Q1208,427094,430502,26/03/2016,1724,1
33R0453,426503,433764,27/03/2016,1019,1
33R0504,429880,430763,27/03/2016,1106,1
33R0873,432133,435320,27/03/2016,1608,1
33R0913,427769,434959,27/03/2016,1710,1
33R1046,431779,430478,27/03/2016,1800,1
33R1689,427000,433450,27/03/2016,2349,2
33S0525,423018,437664,28/03/2016,1124,2
33S0584,424482,438585,28/03/2016,1204,1
33S0639,436098,434792,28/03/2016,1100,2
33T0242,431434,431611,29/03/2016,740,2
33T0645,426297,438088,29/03/2016,1247,1
33T1050,429167,432418,29/03/2016,1630,1
33T1515,428979,430936,29/03/2016,2045,1
33T1529,422029,434379,24/03/2016,1730,1
33T1751,430759,434644,29/03/2016,1751,1
33U0243,431493,433975,30/03/2016,818,1
33U0291,436726,428266,30/03/2016,1604,1
33U0531,430713,439027,30/03/2016,1213,1
33U0563,432391,437597,30/03/2016,1210,2
33U0574,430377,433523,17/03/2016,1210,1
33U0825,427560,427911,30/03/2016,2054,1
33U0931,426497,427233,30/03/2016,1620,1
33U0964,425155,429000,30/03/2016,1635,1
33U1075,430605,434565,30/03/2016,1700,2
33U1123,443972,434035,30/03/2016,1757,1
33U1271,426881,433439,30/03/2016,1913,1
33U1748,429655,423722,30/03/2016,2345,1
33V0210,441011,447922,31/03/2016,614,1
33V0429,426590,427077,31/03/2016,1045,1
33V0846,430652,434727,31/03/2016,1845,2
33V1001,429469,435450,30/03/2016,1615,1
33V1161,432934,440174,31/03/2016,1704,1
33V1357,424741,437826,31/03/2016,1845,1
33V1367,427312,433869,31/03/2016,1848,1
33V1409,426284,435585,31/03/2016,1906,1
33V1546,434601,434498,31/03/2016,2016,1
33V1759,424685,433597,31/03/2016,2155,1
3410726,432779,429909,01/04/2016,1330,1
3411318,431229,445744,01/04/2016,1852,1
3420318,429898,435437,02/04/2016,630,1
3420607,431966,425519,02/04/2016,1210,7
3421179,427062,431803,02/04/2016,1810,1
3421556,430164,432839,02/04/2016,1420,4
3430626,432030,428493,03/04/2016,1154,1
3431102,433218,436344,03/04/2016,1630,1
3440406,427242,433519,04/04/2016,1034,1
3440714,435860,436384,04/04/2016,1250,1
3440797,432253,438849,04/04/2016,1418,1
3440994,439186,446061,04/04/2016,1545,1
3450238,424270,428001,05/04/2016,743,1
3450269,431402,435029,05/04/2016,814,1
3450365,432338,426034,05/04/2016,945,1
3450551,437506,433021,05/04/2016,1150,2
3450918,433239,434026,05/04/2016,1320,1
3451238,427627,431158,05/04/2016,1700,1
3470285,430707,434595,07/04/2016,907,1
3470636,431954,430328,07/04/2016,1310,3
3470749,420489,445125,07/04/2016,1412,2
3470826,422181,441731,07/04/2016,1442,1
3471144,430747,439243,07/04/2016,1705,1
3471199,429325,431338,07/04/2016,1720,1
3480301,431247,445732,08/04/2016,934,1
3480522,430878,434255,08/04/2016,1107,1
3480914,430857,433893,08/04/2016,1425,1
3481375,430115,427124,08/04/2016,1804,1
3481836,429312,437848,08/04/2016,2158,3
3481903,434134,428742,08/04/2016,2232,1
3481960,429503,430272,08/04/2016,2301,1
3490475,423279,434247,09/04/2016,935,1
3491292,431912,434798,09/04/2016,1541,1
3491701,424921,438259,09/04/2016,2050,1
34A0112,430414,433945,10/04/2016,50,4
34A0353,424450,433732,10/04/2016,643,2
34A0683,430486,431744,10/04/2016,1253,1
34A1160,427197,429556,04/04/2016,1200,1
34A1247,427477,432599,10/04/2016,1757,2
34B0449,424467,433648,09/04/2016,2345,1
34B1446,425347,434464,11/04/2016,1840,1
34C0049,429109,423551,12/04/2016,117,1
34C0290,426316,435536,22/04/2016,843,1
34C0843,428768,437037,12/04/2016,1450,1
34C1090,426062,427377,12/04/2016,2013,1
34C1363,430460,432770,12/04/2016,1745,1
34C1380,432954,440275,12/04/2016,1955,1
34D1127,437276,429647,13/04/2016,1713,1
34E0509,431961,427789,14/04/2016,1102,1
34E1023,426238,435587,14/04/2016,1550,1
34F0267,432867,432388,15/04/2016,820,1
34F0355,430638,432638,15/04/2016,948,1
34F0930,440438,448181,15/04/2016,1450,1
34F1211,422477,432955,15/04/2016,1530,2
34F1454,430233,433333,15/04/2016,1845,1
34F1569,430129,438264,15/04/2016,2055,2
34G0580,420421,445565,16/04/2016,1042,1
34G0785,430372,434657,16/04/2016,1305,2
34G0789,430601,434156,16/04/2016,1310,4
34G0896,429609,431494,16/04/2016,1400,3
34G0900,427326,437199,13/04/2016,2110,1
34G1003,431808,435595,16/04/2016,1524,1
34G1077,427896,434621,16/04/2016,1613,2
34G1373,424531,438534,16/04/2016,1900,2
34H0719,428344,431277,17/04/2016,1130,2
34H0964,440960,437451,17/04/2016,1525,1
34I0492,433372,434058,18/04/2016,1100,1
34I0627,433098,434025,18/04/2016,1225,1
34I0675,423112,439317,17/04/2016,1015,1
34I0700,429578,434761,18/04/2016,1120,1
34I1101,422833,442996,18/04/2016,1645,3
34I1102,426821,434975,18/04/2016,1640,1
34I1154,433902,436534,18/04/2016,1700,1
34J1013,421992,433566,19/04/2016,1510,3
34J1015,430820,433955,19/04/2016,1610,1
34J1178,433589,435637,19/04/2016,1645,1
34J1189,424221,428147,19/04/2016,1732,1
34J1212,443362,438882,19/04/2016,1743,1
34J1397,429097,423575,20/04/2016,1908,2
34J1748,444823,436471,19/04/2016,2225,1
34J1808,428829,434630,19/04/2016,2305,1
34K0257,440314,449472,20/04/2016,800,1
34K0258,428303,434118,20/04/2016,755,1
34K0283,431018,430558,20/04/2016,830,2
34K0314,431055,431968,20/04/2016,740,1
34K0322,424062,428055,20/04/2016,855,1
34K0554,429950,435053,20/04/2016,930,1
34K1034,433146,426324,20/04/2016,1535,1
34K1195,430965,429008,20/04/2016,1647,3
34K1391,433096,435631,20/04/2016,1730,2
34K1993,429899,433413,20/04/2016,2255,1
34L0195,430640,434240,21/04/2016,719,1
34L0343,430066,433772,21/04/2016,915,1
34L0719,431779,435552,21/04/2016,1325,1
34L1158,427274,430729,21/04/2016,1640,1
34L1190,441158,445436,21/04/2016,1653,1
34L1245,428243,435194,21/04/2016,1720,1
34L1400,433769,436237,21/04/2016,1730,1
34L1439,432092,436257,21/04/2016,1846,1
34L1642,425162,429001,21/04/2016,2021,1
34L1732,430807,433856,21/04/2016,2030,1
34L1893,436132,440880,21/04/2016,2254,3
34M0046,430876,435495,21/04/2016,2320,1
34M0251,427124,434796,22/04/2016,805,1
34M0268,431319,433912,22/04/2016,825,1
34M0752,429962,430866,22/04/2016,1315,1
34M0852,436771,425926,22/04/2016,1407,5
34M0926,428837,436575,22/04/2016,1422,1
34M1318,430271,428436,22/04/2016,1723,1
34N0033,428914,434807,23/04/2016,15,1
34N0283,426687,435509,23/04/2016,441,2
34N1274,430447,426470,23/04/2016,1747,1
34O0312,431384,431651,24/04/2016,1200,1
34O0846,435942,428235,24/04/2016,1352,1
34O1143,434350,436892,24/04/2016,1800,2
34P0261,429136,435249,25/04/2016,825,1
34P0408,429098,432695,25/04/2016,1020,2
34P0752,439331,430560,25/04/2016,1345,2
34P1116,426579,425973,25/04/2016,1708,1
34P1225,430002,432659,25/04/2016,1805,1
34Q0224,424092,429306,26/04/2016,755,1
34Q0580,429409,435666,26/04/2016,1215,1
34Q0693,431088,440462,26/04/2016,1329,1
34Q0710,436027,435506,26/04/2016,1341,1
34Q0873,434673,434535,26/04/2016,1520,1
34Q0931,439406,432690,26/04/2016,1550,1
34Q1034,429192,433841,26/04/2016,1645,1
34Q1266,430566,433456,26/04/2016,1834,1
34R0124,438488,438790,27/04/2016,625,2
34R0170,420953,434388,27/04/2016,741,1
34R0470,429147,431994,27/04/2016,815,1
34R0775,430356,435453,27/04/2016,1355,1
34R0854,431086,434211,27/04/2016,1455,2
34R0971,428718,435612,27/04/2016,1545,2
34R1005,419191,444553,27/04/2016,1605,1
34R1008,432064,434902,27/04/2016,1610,1
34R1570,435991,437068,27/04/2016,2010,2
34S0276,430990,433764,28/04/2016,815,1
34S0323,429282,435071,28/04/2016,902,1
